file_id,original_filename,sheet_name,row_count,primary_domain,secondary_domains,confidence_score,classification_evidence,notes
F001,05_scheme_ii.csv,05_scheme_ii,78,05_SCHEME_II_CRS,,11,"file~scheme_ii,val~compulsory registration,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F002,06_scheme_iv.csv,06_scheme_iv,6,06_SCHEME_IV_COC,,13,"file~scheme_iv,val~certificate of conformity,val~coc,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F003,07_scheme_x.csv,07_scheme_x,52,07_SCHEME_X,,9,"file~scheme_x,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F004,17_source_conflicts.csv,17_source_conflicts,2,OTHER_RELEVANT,,9,file~source_conflicts,content-based classification; filename used only as weak signal
F005,BIS_Combined_Testing_Master.xlsx,Combined_Testing_Master,260,10_TESTING,,22,"hdr:test_id,hdr:test_name,hdr:acceptance_criteria,hdr:required_equipment,hdr:parameter,hdr:sample_size",content-based classification; filename used only as weak signal
F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,98,12_CERTIFICATION_FAQ,18_HALLMARKING_FAQ,11,"hdr:faq_id,hdr:question,hdr:answer,file~faq",content-based classification; filename used only as weak signal
F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,45,13_LAB_SERVICES,14_LIMS_LABS;10_TESTING;15_LIMS_IS_TEST,16,"hdr:testing_charge,hdr:capability,hdr:scope_status,hdr:scope_validity,file~laboratory_scopes,val~laboratories/test faciliti",content-based classification; filename used only as weak signal
F008,BIS_Mandatory_Hallmarking_Orders.xlsx,Mandatory_Hallmarking_Orders,14,19_HALLMARKING_ORDERS,03_QCO,22,"hdr:order_id,hdr:fineness,hdr:metal,hdr:district_phase,hdr:geographical_applicability,hdr:supersession",content-based classification; filename used only as weak signal
F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,31,16_ACT_RULES_REGULATIONS,03_QCO,11,"hdr:notification_id,hdr:related_amendment,hdr:ministry,file~notification",content-based classification; filename used only as weak signal
F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,40,09_PRODUCT_MANUALS,04_SCHEME_I,20,"hdr:manual_id,hdr:manual_title,hdr:sampling_guidelines,hdr:marking_requirements,hdr:raw_material_requirements,hdr:process_requirements",content-based classification; filename used only as weak signal
F011,BIS_Products_Details.xlsx,Products_Details,40,02_PRODUCTS,,23,"hdr:product_id,hdr:alternate_names,hdr:subcategory,hdr:keywords,hdr:related_is_numbers,hdr:related_qcos",content-based classification; filename used only as weak signal
F012,BIS_Products_Full_Information.xlsx,Products_Details,40,02_PRODUCTS,,23,"hdr:product_id,hdr:alternate_names,hdr:subcategory,hdr:keywords,hdr:related_is_numbers,hdr:related_qcos",content-based classification; filename used only as weak signal
F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,40,02_PRODUCTS,,23,"hdr:product_id,hdr:alternate_names,hdr:subcategory,hdr:keywords,hdr:related_is_numbers,hdr:related_qcos",content-based classification; filename used only as weak signal
F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,40,03_QCO,04_SCHEME_I;16_ACT_RULES_REGULATIONS,23,"hdr:qco_id,hdr:qco_name,hdr:qco_number,hdr:mandatory_status,hdr:notification_number,hdr:effective_date",content-based classification; filename used only as weak signal
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,15,03_QCO,04_SCHEME_I;16_ACT_RULES_REGULATIONS,23,"hdr:qco_id,hdr:qco_name,hdr:qco_number,hdr:mandatory_status,hdr:notification_number,hdr:effective_date",content-based classification; filename used only as weak signal
F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,3,03_QCO,04_SCHEME_I;16_ACT_RULES_REGULATIONS,25,"hdr:qco_id,hdr:qco_name,hdr:qco_number,hdr:mandatory_status,hdr:notification_number,hdr:effective_date",content-based classification; filename used only as weak signal
F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,12,03_QCO,04_SCHEME_I,23,"hdr:qco_id,hdr:qco_name,hdr:qco_number,hdr:mandatory_status,hdr:notification_number,hdr:effective_date",content-based classification; filename used only as weak signal
F018,BIS_QCO_Master_Scheme_1.xlsx,BIS_QCO_Master_Scheme_1,40,03_QCO,01_KNOW_YOUR_STANDARD;16_ACT_RULES_REGULATIONS,10,"hdr:notification_number,hdr:qco_order,file~qco,val~quality control order",content-based classification; filename used only as weak signal
F019,BIS_QCO_Summary.xlsx,QCO_Summary,35,03_QCO,04_SCHEME_I,11,"hdr:qco_name_identifier,hdr:notification_no_date,hdr:key_scope_exclusions_amendments,file~qco",content-based classification; filename used only as weak signal
F020,BIS_Recognized_Laboratories.xlsx,BIS_Recognized_Labs,15,14_LIMS_LABS,,18,"hdr:lab_id,hdr:lab_name,hdr:lab_code,hdr:recognition_status,file~laborator,file~recognized_lab",content-based classification; filename used only as weak signal
F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,40,22_FMCS,06_SCHEME_IV_COC,11,"file~fmcs,val~foreign manufacturer,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F022,BIS_Scheme_X_Industrial.xlsx,BIS_Scheme_X,5,07_SCHEME_X,,11,"file~scheme_x,val~omnibus technical regulati,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F023,BIS_Scheme_X_Industrial_v2.xlsx,BIS_Scheme_X,5,07_SCHEME_X,,11,"file~scheme_x,val~omnibus technical regulati,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F024,BIS_Schemes_Master.xlsx,BIS_Schemes_Master,40,04_SCHEME_I,,9,"val~isi mark,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F025,BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master_Scheme_2,40,05_SCHEME_II_CRS,,9,"file~scheme_2,dominant_scheme_label=100%(col_rank=3)",content-based classification; filename used only as weak signal
F026,BIS_Standards_Amendments.xlsx,BIS_Standards_Amendments,42,01_KNOW_YOUR_STANDARD,03_QCO,8,"hdr:amendment_number,hdr:parent_entity,file~standards_amendments",content-based classification; filename used only as weak signal
F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,40,01_KNOW_YOUR_STANDARD,,29,"hdr:standard_id,hdr:is_number,hdr:reaffirmation_review_date,hdr:technical_committee,hdr:revision,hdr:superseding_standard",content-based classification; filename used only as weak signal
F028,BIS_Standards_Details_v2.xlsx,BIS Standards,40,01_KNOW_YOUR_STANDARD,,29,"hdr:standard_id,hdr:is_number,hdr:reaffirmation_review_date,hdr:technical_committee,hdr:revision,hdr:superseding_standard",content-based classification; filename used only as weak signal
F029,BIS_Standards_Details_v3.xlsx,BIS Standards,40,01_KNOW_YOUR_STANDARD,,29,"hdr:standard_id,hdr:is_number,hdr:reaffirmation_review_date,hdr:technical_committee,hdr:revision,hdr:superseding_standard",content-based classification; filename used only as weak signal
F030,BIS_Standards_Intelligence_Master.xlsx,BIS_Standards_Intelligence,45,08_PRODUCT_SPECIFIC,04_SCHEME_I;11_CERTIFICATION_PROCESS,23,"hdr:factory_requirements,hdr:infrastructure_requirements,hdr:process_controls,hdr:conformity_assessment,hdr:eligibility,hdr:required_documents",content-based classification; filename used only as weak signal
F031,BIS_Standards_Scheme_Mapping.xlsx,BIS_Standards_Scheme_Mapping,36,08_PRODUCT_SPECIFIC,11_CERTIFICATION_PROCESS,23,"hdr:factory_requirements,hdr:infrastructure_requirements,hdr:process_controls,hdr:conformity_assessment,hdr:eligibility,hdr:required_documents",content-based classification; filename used only as weak signal
F032,BIS_Testing_Parameters_Master.xlsx,BIS_Testing_Parameters,45,10_TESTING,,26,"hdr:test_name,hdr:test_parameter,hdr:acceptance_criteria,hdr:test_method,hdr:sampling_frequency,hdr:required_equipment",content-based classification; filename used only as weak signal
F033,bis_circulars (1).csv,bis_circulars (1),160,16_ACT_RULES_REGULATIONS,05_SCHEME_II_CRS,20,"hdr:circular_id,hdr:circular_number,hdr:issuing_authority,hdr:implementation_instructions,file~circular,val~gazette",content-based classification; filename used only as weak signal
F034,bis_gazette_notification.csv,bis_gazette_notification,1798,16_ACT_RULES_REGULATIONS,,6,"file~gazette,file~notification,val~एस.ओ.",content-based classification; filename used only as weak signal
F035,bis_laboratories.csv,bis_laboratories,431,14_LIMS_LABS,,16,"hdr:lab_id,hdr:lab_name,hdr:lab_type,hdr:accreditation_validity,file~laborator,val~lims",content-based classification; filename used only as weak signal
F036,bis_product_certification_faq (1).csv,bis_product_certification_faq (1),28,12_CERTIFICATION_FAQ,18_HALLMARKING_FAQ,11,"hdr:faq_id,hdr:question,hdr:answer,file~faq",content-based classification; filename used only as weak signal
F037,bis_product_certifications.csv,bis_product_certifications,71,11_CERTIFICATION_PROCESS,,19,"hdr:application_procedure,hdr:fee_structure,hdr:inspection_testing_norm,hdr:applicability,hdr:guideline_title,file~product_certifications",content-based classification; filename used only as weak signal
F038,bis_topic17_hallmarking_centres.csv,bis_topic17_hallmarking_centres,1658,20_HALLMARKING_CENTRES,14_LIMS_LABS,18,"hdr:centre_id,hdr:centre_code,hdr:centre_name,hdr:recognition_status_raw,file~hallmarking_centre,val~ahc",content-based classification; filename used only as weak signal
F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,bis_topic17_hallmarking_centres_cancelled_suspended,722,20_HALLMARKING_CENTRES,14_LIMS_LABS;17_HALLMARKING_OVERVIEW,24,"hdr:centre_id,hdr:centre_code,hdr:centre_name,hdr:centre_type,hdr:recognition_status_raw,hdr:suspended_cancelled_date",content-based classification; filename used only as weak signal
F040,data__raw__fmcs_all_fmcs_list_raw.csv,data__raw__fmcs_all_fmcs_list_raw,3135,22_FMCS,,8,"hdr:cml_no_raw,hdr:name_address_raw,file~fmcs",content-based classification; filename used only as weak signal
F041,output__extraction_log.csv,output__extraction_log,12,OTHER_RELEVANT,,9,file~extraction_log,content-based classification; filename used only as weak signal
F042,output__fmcs_country_coverage.csv,output__fmcs_country_coverage,74,22_FMCS,,11,"hdr:country,hdr:manufacturer_count,hdr:licence_count,file~fmcs",content-based classification; filename used only as weak signal
F043,output__fmcs_is_coverage.csv,output__fmcs_is_coverage,423,22_FMCS,,8,"hdr:manufacturer_count,hdr:licence_count,file~fmcs",content-based classification; filename used only as weak signal
F044,output__source_inventory.csv,output__source_inventory,46,OTHER_RELEVANT,,9,file~source_inventory,content-based classification; filename used only as weak signal
F045,output__topic18_fmcs_manufacturers.csv,output__topic18_fmcs_manufacturers,3135,22_FMCS,08_PRODUCT_SPECIFIC;11_CERTIFICATION_PROCESS,13,"hdr:manufacturer_id,hdr:country,hdr:licence_status,file~fmcs,val~foreign manufacturer",content-based classification; filename used only as weak signal
F046,output__topic19_official_documents.csv,output__topic19_official_documents,22,22_FMCS,,9,"val~fmcs,dominant_scheme_label=100%(col_rank=2)",content-based classification; filename used only as weak signal
F047,output__topic20_provenance.csv,output__topic20_provenance,44154,OTHER_RELEVANT,,9,file~provenance,content-based classification; filename used only as weak signal
F048,output__unresolved_records.csv,output__unresolved_records,22,OTHER_RELEVANT,,9,file~unresolved_records,content-based classification; filename used only as weak signal
