attribute_id,entity_type,entity_id,entity_label,attribute_name,attribute_value,value_length,semantic_type,attribute_context,null_class,original_value,missing_reason,source_file_id,source_file,source_sheet,source_row,source_column,transformation_rule,merge_action,rule_source,source_url,review_flag
ATT-0000001,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0001,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,2,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000002,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,2,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000003,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,2,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000004,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,2,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000005,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,2,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000006,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,2,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000007,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0002,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,3,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000008,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,3,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000009,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,3,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000010,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,3,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
