canonical_entity,canonical_entity_id,source_sheet,source_row,source_manual_ids,canonical_is_number,product_name,manual_title,version,revision_date,related_scheme_text,document_scope,raw_material_requirements,process_requirements,testing_requirements,sampling_guidelines,test_equipment,marking_requirements,sit_sti,grouping_guidelines,licensing_requirements,inspection_requirements,document_url,source_url
PRODUCT_MANUAL,PM-00016,BIS_Product_Manuals,2,PM/IS17631/1,STD-17631,Work Chairs,Product Manual for Work Chairs According to IS 17631:2022,1 / latest indexed manual,2025-06,Scheme-I,Work chairs covered by IS 17631:2022,As specified in IS; manufacturer declaration/control applicable,Manufacturing/fabrication or ready-to-assemble requirements; design/workmanship controls,"Dimensions, surface performance, stability/strength/durability as applicable",See manual sampling section/annex,See Annex-B,Standard Mark as per licence and IS requirements,See Annex-C,See Annex-A,BIS licence under Scheme-I; scope by product/model,"Factory surveillance, testing and records as specified by manual",BIS Product Manual PDF,BIS Product Manuals
PRODUCT_MANUAL,PM-00017,BIS_Product_Manuals,3,PM/IS17632/2/Jun25,STD-17632,General Purpose Chairs and Stools,Product Manual for General Purpose Chairs and Stools According to IS 17632:2022,2,2025-06,Scheme-I,Chairs/stools; Type 1 domestic and Type 2 institutional; defined models/families,Nil stated in manual,Manufacturing/fabrication or ready-to-assemble; design/workmanship controls,"Design/workmanship; dimensions; surface performance; stability, static-load and durability tests",2 chairs for dimensional/safety; material/fabric/leather pieces for surface-performance tests,"Annex-B; micrometer, Vernier caliper, tape, steel scale, protractor plus specified furniture/surface-performance equipment",Standard Mark on each product; IS 17632 Cl. 9; additional BIS certification wording,Annex-C; quality assurance plan and routine/subcontracted testing,Same category/material/construction and dimensions within ±10% of lead model; lead-model testing covers family,Licence scope by product/type/category/model,Rotation of models; in-house/common/subcontracted testing; test records,BIS manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00018,BIS_Product_Manuals,4,PM/IS17633/1/Dec22,STD-17633,Tables and Desks,Product Manual for Tables and Desks According to IS 17633:2022,1,NONE,Scheme-I,Tables and desks,As specified in IS/manual,"Construction, workmanship and conformity to dimensional/performance requirements","Dimensional, surface-performance, stability/strength/durability tests as applicable",See manual/annex,Annex-B,Standard Mark as per licence/IS,Annex-C,Annex-A,Licence with defined product/model scope,Factory inspection and surveillance with testing records,BIS manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00019,BIS_Product_Manuals,5,PM/IS17634/1/Sep22,STD-17634,Storage Units,Product Manual for Storage Units According to IS 17634:2022,1,2022-09,Scheme-I,Storage units,As specified in IS/manual,Manufacturing/construction and workmanship controls,"Dimensional, performance, stability/strength/durability as applicable",See manual/annex,Annex-B,Standard Mark as specified,Annex-C,Annex-A,BIS product certification licence,Factory inspection/surveillance and test records,BIS manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00020,BIS_Product_Manuals,6,PM/IS17635/1/Dec22,STD-17635,Beds,Product Manual for Beds According to IS 17635:2022,1,2022-12,Scheme-I,Beds,As specified in IS/manual,Manufacturing/fabrication and workmanship controls,"Dimensions, surface performance, strength/stability/durability as applicable",See manual/annex,Annex-B,Standard Mark as specified,Annex-C,Annex-A,BIS licence for defined product/model scope,Factory inspection/surveillance,BIS manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00021,BIS_Product_Manuals,7,PM/IS17636/1/Dec22,STD-17636,Bunk Beds,Product Manual for Bunk Beds According to IS 17636:2022,1,2022-12,Scheme-I,Bunk beds,As specified in IS/manual,Manufacturing/construction/workmanship controls,"Dimensions, strength, stability and durability as applicable",See manual/annex,Annex-B,Standard Mark as specified,Annex-C,Annex-A,BIS product certification licence,Factory inspection/surveillance and records,BIS manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00025,BIS_Product_Manuals,8,PM/IS2347/Rev,STD-2347,Domestic Pressure Cooker,Product Manual for Domestic Pressure Cooker According to IS 2347:2023,Revised manual incorporating SIT and grouping guidelines,2024-03,Scheme-I,Domestic pressure cookers,"Body/material, gasket, safety components etc. as required by IS 2347","Construction, workmanship, assembly and safety-device controls","Gross/body capacity, body/lid/container/grid, safety relief device, gasket, handles/knobs, pressure-regulating device, vent pipe, construction, air/proof pressure, safety relief, bursting, lid-removal and other IS tests",As specified in revised manual,Tests/equipment as specified in manual/SIT,Standard Mark as per licence and IS 2347,Revised SIT; BIS circular confirms revised manual incorporates SIT and grouping guidelines,Revised grouping guidelines,BIS certification for domestic pressure cooker,"Inspection, routine testing and surveillance according to revised SIT",BIS Circular / revised PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00001,BIS_Product_Manuals,9,PM/IS12330/1/Jan19,STD-12330,Sulphate Resisting Portland Cement,Product Manual for Sulphate Resisting Portland Cement According to IS 12330:1988,1,2019-01,Scheme-I,Sulphate Resisting Portland Cement,Not applicable,Cement production controls per IS,"Physical/chemical tests; manual lists insoluble residue, LOI, fineness, setting time; transverse strength optional by agreement",8 kg physical + 1 kg chemical,Annex-A,Standard Mark on cement conforming to IS 12330,Annex-B,Not applicable,Licence to use Standard Mark on Sulphate Resisting Portland Cement,Factory inspection and routine testing under SIT,BIS manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00002,BIS_Product_Manuals,10,PM/IS12600/1,STD-12600,Low Heat Portland Cement,Product Manual for Low Heat Portland Cement According to IS 12600:1989,1 / indexed PM,—,Scheme-I,Low Heat Portland Cement,Cement raw materials as per IS 12600,Cement manufacture and process controls per IS,"Chemical, physical and performance requirements per IS; see Annex/SIT",See manual,Annex,Standard Mark per licence,SIT annex,Cement grade/grouping as specified,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00003,BIS_Product_Manuals,11,PM/IS1489-P1,STD-1489-P1,Portland Pozzolana Cement — Fly Ash Based,Product Manual for Portland Pozzolana Cement — Fly Ash Based,Latest indexed PM,—,Scheme-I,PPC using fly ash,Fly ash as per IS 3812; clinker/cement constituents per IS,Cement manufacture/blending controls,"Chemical, physical and strength requirements of IS 1489 Part 1",Cement sampling as per manual,Annex,Standard Mark,SIT annex,Grade/product grouping per manual,BIS licence,Factory inspection and testing,BIS Product Manual,BIS Product Manuals
