quarantine_id,origin_table,relationship_id,relationship_type,resolved_side_entity_type,resolved_side_entity_id,resolved_side_label,unresolved_side_role,unresolved_side_reference,evidence_column,evidence_value,source_file_id,source_file,source_sheet,source_row,quarantine_reason,retained_in,confidence
UNRES-0001,IS_AMENDMENTS,REL-IS_AME-0000001,AMENDS,NOTIFICATION,NOTIF-00466,S.O. 774(E),is_id,STANDARD:Furniture QCO amendment,related_amendment_text,Furniture QCO amendment,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,3,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0002,IS_AMENDMENTS,REL-IS_AME-0000002,AMENDS,NOTIFICATION,NOTIF-00469,S.O. 777(E),is_id,STANDARD:Furniture QCO amendment,related_amendment_text,Furniture QCO amendment,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,4,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0003,IS_AMENDMENTS,REL-IS_AME-0000003,AMENDS,NOTIFICATION,NOTIF-00437,S.O. 1125(E),is_id,STANDARD:Furniture QCO amendment,related_amendment_text,Furniture QCO amendment,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,5,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0004,IS_AMENDMENTS,REL-IS_AME-0000004,AMENDS,NOTIFICATION,NOTIF-00451,S.O. 3417(E),is_id,STANDARD:Transition,related_amendment_text,Transition,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,6,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0005,IS_AMENDMENTS,REL-IS_AME-0000005,AMENDS,NOTIFICATION,NOTIF-00444,S.O. 2019(E),is_id,STANDARD:QCO amendment,related_amendment_text,QCO amendment,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,8,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0006,IS_AMENDMENTS,REL-IS_AME-0000006,AMENDS,NOTIFICATION,NOTIF-00458,S.O. 4277(E),is_id,STANDARD:2024 amendment,related_amendment_text,2024 amendment,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,11,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0007,IS_AMENDMENTS,REL-IS_AME-0000007,AMENDS,NOTIFICATION,NOTIF-00451,S.O. 3417(E),is_id,STANDARD:Transition,related_amendment_text,Transition,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,12,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0008,IS_AMENDMENTS,REL-IS_AME-0000008,AMENDS,NOTIFICATION,NOTIF-00457,S.O. 4144(E),is_id,STANDARD:Supersession,related_amendment_text,Supersession,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,14,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0009,IS_AMENDMENTS,REL-IS_AME-0000009,AMENDS,NOTIFICATION,NOTIF-00462,S.O. 620(E),is_id,STANDARD:Amendment,related_amendment_text,Amendment,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,16,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
UNRES-0010,IS_AMENDMENTS,REL-IS_AME-0000010,AMENDS,NOTIFICATION,NOTIF-00440,S.O. 1431(E),is_id,STANDARD:Amendment,related_amendment_text,Amendment,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,17,NO_RESOLVABLE_STANDARD_IN_REFERENCE,92_VALIDATION/ORPHAN_RECORDS.csv;93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,0.60
