canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,qco_product_text,qco_number,ministry,notification_number,mandatory_voluntary,effective_date,qco_amendments,qco_exemptions,qco_scope,source_gazette_url
QCO,QCO-00046,BIS_QCO_Master_Scheme_1,2,STD-17631,Work Chairs,"Furniture (Quality Control) Order, 2025 / 2026",Ministry of Commerce and Industry (DPIIT),"Furniture (Quality Control) Amendment Order, 2026",MANDATORY,NONE,Phased timelines for MSEs and specific R&D import provisions (up to 200 units/year),—,"Covers indoor and outdoor furniture categories including work chairs, general seating, desks, tables, storage units, and beds.",Official Gazette of India (No URLs provided in source tab for this QCO).
QCO,QCO-00046,BIS_QCO_Master_Scheme_1,3,STD-17632,General Purpose Chairs and Stools,"Furniture (Quality Control) Order, 2025 / 2026",Ministry of Commerce and Industry (DPIIT),"Furniture (Quality Control) Amendment Order, 2026",MANDATORY,NONE,Phased timelines for MSEs and specific R&D import provisions (up to 200 units/year),—,"Covers indoor and outdoor furniture categories including work chairs, general seating, desks, tables, storage units, and beds.",Official Gazette of India (No URLs provided in source tab for this QCO).
QCO,QCO-00046,BIS_QCO_Master_Scheme_1,4,STD-17633,Tables and Desks,"Furniture (Quality Control) Order, 2025 / 2026",Ministry of Commerce and Industry (DPIIT),"Furniture (Quality Control) Amendment Order, 2026",MANDATORY,NONE,Phased timelines for MSEs and specific R&D import provisions (up to 200 units/year),—,"Covers indoor and outdoor furniture categories including work chairs, general seating, desks, tables, storage units, and beds.",Official Gazette of India (No URLs provided in source tab for this QCO).
QCO,QCO-00046,BIS_QCO_Master_Scheme_1,5,STD-17634,Storage Units,"Furniture (Quality Control) Order, 2025 / 2026",Ministry of Commerce and Industry (DPIIT),"Furniture (Quality Control) Amendment Order, 2026",MANDATORY,NONE,Phased timelines for MSEs and specific R&D import provisions (up to 200 units/year),—,"Covers indoor and outdoor furniture categories including work chairs, general seating, desks, tables, storage units, and beds.",Official Gazette of India (No URLs provided in source tab for this QCO).
QCO,QCO-00046,BIS_QCO_Master_Scheme_1,6,STD-17635,Beds,"Furniture (Quality Control) Order, 2025 / 2026",Ministry of Commerce and Industry (DPIIT),"Furniture (Quality Control) Amendment Order, 2026",MANDATORY,NONE,Phased timelines for MSEs and specific R&D import provisions (up to 200 units/year),—,"Covers indoor and outdoor furniture categories including work chairs, general seating, desks, tables, storage units, and beds.",Official Gazette of India (No URLs provided in source tab for this QCO).
QCO,QCO-00046,BIS_QCO_Master_Scheme_1,7,STD-17636,Bunk Beds,"Furniture (Quality Control) Order, 2025 / 2026",Ministry of Commerce and Industry (DPIIT),"Furniture (Quality Control) Amendment Order, 2026",MANDATORY,NONE,Phased timelines for MSEs and specific R&D import provisions (up to 200 units/year),—,"Covers indoor and outdoor furniture categories including work chairs, general seating, desks, tables, storage units, and beds.",Official Gazette of India (No URLs provided in source tab for this QCO).
QCO,QCO-00014,BIS_QCO_Master_Scheme_1,8,STD-2347,Domestic Pressure Cooker,"Domestic Pressure Cooker (Quality Control) Order, 2020","Ministry of Consumer Affairs, Food and Public Distribution",S.O. 294(E),MANDATORY,2020-01-21,—,—,Domestic pressure cookers manufactured from aluminium or stainless steel.,Gazette of India (S.O. 294 (E) dated 21/01/2020)
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,9,STD-12330,Sulphate Resisting Portland Cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,10,STD-12600,Low heat Portland Cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,11,STD-1489-P1,Portland Pozzolana Cement (Fly-ash based),"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
