canonical_entity,canonical_entity_id,source_sheet,source_row,source_product_ids,product_name,alternate_names,product_category,product_subcategory,product_description,keywords,related_is_text,related_qco_text,related_scheme_text,source_url
PRODUCT,PROD-00310,Products_Details,2,PROD_IS17631_CHAIRS,Work Chairs,Office Chairs | Ergonomic Task Chairs | Desk Chairs,Furniture,Seating Furniture,"Covers safety, strength, stability, durability, and ergonomic requirements for office work chairs.",work chair | office chair | ergonomic seating | task chair,IS 17631:2022,Furniture (Quality Control) Order,Scheme-I (ISI Mark),Product Specific Information
PRODUCT,PROD-00106,Products_Details,3,PROD_IS17632_CHAIRS,General Purpose Chairs and Stools,Side Chairs | Visitor Chairs | Dining Stools,Furniture,Seating Furniture,Specifies safety and strength specifications for general purpose non-office chairs and stools.,general purpose chair | stools | visitor seating,IS 17632:2022,Furniture (Quality Control) Order,Scheme-I (ISI Mark),Product Specific Information
PRODUCT,PROD-00285,Products_Details,4,PROD_IS17633_TABLES,Tables and Desks,Workstations | Office Desks | Study Tables,Furniture,Office & Domestic Desks,"Covers structural performance, stability, and load-bearing requirements for tables and desks.",tables | desks | office workstations | study table,IS 17633:2022,Furniture (Quality Control) Order,Scheme-I (ISI Mark),Product Specific Information
PRODUCT,PROD-00274,Products_Details,5,PROD_IS17634_STORAGE,Storage Units,Cabinets | Filing Units | Cupboards | Wardrobes,Furniture,Storage Furniture,"Specifies strength, durability, and overturning safety for domestic and commercial storage units.",storage unit | office cabinet | filing cabinet | cupboard,IS 17634:2022,Furniture (Quality Control) Order,Scheme-I (ISI Mark),Product Specific Information
PRODUCT,PROD-00051,Products_Details,6,PROD_IS17635_BEDS,Beds,Bedsteads | Cots | Platform Beds,Furniture,Domestic Furniture,"Defines dimensional stability, load-bearing integrity, and durability metrics for adult beds.",beds | cots | platform bed | bedsteads,IS 17635:2022,Furniture (Quality Control) Order,Scheme-I (ISI Mark),Product Specific Information
PRODUCT,PROD-00056,Products_Details,7,PROD_IS17636_BUNK,Bunk Beds and High Beds,Double-deck Beds | Loft Beds,Furniture,Domestic Furniture,"Establishes safety barriers, frame strength, and structural integrity to prevent fall and entrapment hazards.",bunk beds | high beds | loft bed | double decker,IS 17636:2022,Furniture (Quality Control) Order,Scheme-I (ISI Mark),Product Specific Information
PRODUCT,PROD-00085,Products_Details,8,PROD_IS2347_COOKERS,Domestic Pressure Cookers,Pressure Cookers | Autoclave Cookers,Mechanical & Domestic Goods,Utensils & Cookware,"Covers safety, operating pressure limits, thermal shock, and material specifications for domestic cookers.",pressure cooker | kitchen pressure vessel | cooking equipment,IS 2347:2023,Domestic Pressure Cooker (Quality Control) Order,Scheme-I (ISI Mark),Products under Compulsory Certification
PRODUCT,PROD-00276,Products_Details,9,PROD_IS12330_SRC,Sulfate Resisting Portland Cement,SRC Cement | Anti-Sulfate Cement,Civil Engineering,Cement & Concrete,Specifies physical and chemical criteria for cement resistant to aggressive sulfate exposure.,sulfate resisting cement | SRC | hydraulic binder,IS 12330:1998,Cement (Quality Control) Order,Scheme-I (ISI Mark),Products under Compulsory Certification
PRODUCT,PROD-00123,Products_Details,10,PROD_IS12600_LHPC,Low Heat Portland Cement,LHPC Cement,Civil Engineering,Cement & Concrete,Requirements for portland cement releasing low heat of hydration for mass concreting works like dams.,low heat cement | mass concrete | hydraulic cement,IS 12600:1989,Cement (Quality Control) Order,Scheme-I (ISI Mark),Products under Compulsory Certification
PRODUCT,PROD-00150,Products_Details,11,PROD_IS1489_P1_PPC,Portland Pozzolana Cement (Part 1 - Flyash Based),PPC (Flyash) | Pozzolana Flyash Cement,Civil Engineering,Cement & Concrete,"Covers manufacturing, chemical and physical properties of blended cement containing pulverized fly ash.",PPC | flyash cement | pozzolana cement | blended cement,IS 1489 (Part 1):2015,Cement (Quality Control) Order,Scheme-I (ISI Mark),Products under Compulsory Certification
PRODUCT,PROD-00151,Products_Details,12,PROD_IS1489_P2_PPC,Portland Pozzolana Cement (Part 2 - Calcined Clay Based),PPC (Calcined Clay),Civil Engineering,Cement & Concrete,Prescribes standards for Portland Pozzolana cement incorporating calcined clay pozzolana materials.,PPC clay | pozzolana calcined clay | hydraulic cement,IS 1489 (Part 2):2015,Cement (Quality Control) Order,Scheme-I (ISI Mark),Products under Compulsory Certification
PRODUCT,PROD-00131,Products_Details,13,PROD_IS269_OPC,Ordinary Portland Cement,OPC 33 | OPC 43 | OPC 53 Grades,Civil Engineering,Cement & Concrete,"Lays down manufacture and chemical/physical requirements for 33, 43, and 53 grade Ordinary Portland Cement.",OPC | ordinary portland cement | construction binder,IS 269:2015,Cement (Quality Control) Order,Scheme-I (ISI Mark),Products under Compulsory Certification
