canonical_entity,canonical_entity_id,source_sheet,source_row,source_qco_ids,qco_name,qco_number,qco_product_text,related_is_text,notification_number,notification_date,effective_date,ministry,department,mandatory_status,qco_schemes_text,qco_scope,qco_exclusions,qco_amendments,qco_extensions,qco_deferments,qco_corrigendas,qco_supersession,qco_status,official_document_url,source_url
QCO,QCO-00053,QCO_Master_Records,2,1,"Furniture (Quality Control) Order, 2025",No. tified 13 Feb 2025,Work Chairs | Desks | Tables | Storage Units | Beds | Bunk Beds,IS 17631:2022 | IS 17636:2022,No. tified 13 Feb 2025,2025-02-13,NONE,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I (ISI Mark),Covers domestic/office furniture,Excludes custom-built handcrafted non-commercial variants,-,Staggered MSME dates,-,-,-,NOTIFIED,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00068,QCO_Master_Records,3,2,"Domestic Pressure Cooker (Quality Control) Order, 2020",S.O. 294(E),Domestic Pressure Cooker,IS 2347:2017,S.O. 294(E),2020-01-21,-,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I,Household cookers (1L to 22L capacity),Excludes large industrial autoclaves,S.O. 2019(E),-,-,-,-,ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00067,QCO_Master_Records,4,3,"Cement (Quality Control) Order, 2003",S.O. 191(E),Cement Varieties,IS 12330 | IS 12600 | IS 1489 (Pt 1 | IS 269 | IS 455 | IS 8041 | IS 8042 | IS 8043 | IS 16415,S.O. 191(E),2003-02-17,-,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I,"Covers all varieties of cement manufactured, imported, or sold in India",No general retail exclusions,-,-,-,-,-,ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00075,QCO_Master_Records,5,4,"Toys (Quality Control) Order, 2020",S.O. 853(E),Safety of Non-Electric Toys,IS 9873,S.O. 853(E),2020-02-25,-,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I,Toys for children under 14 years,Excludes goods manufactured exclusively for export,S.O. 4277(E),-,-,-,-,ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00075,QCO_Master_Records,6,5,"Toys (Quality Control) Order, 2020",S.O. 853(E),Safety of Electric Toys,IS 15644:2006,S.O. 853(E),2020-02-25,-,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I,Battery-powered and electric toys,Excludes non-electric manual toys,S.O. 4277(E),-,-,-,-,ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00070,QCO_Master_Records,7,6,"Flat Transparent Sheet Glass (Quality Control) Order, 2021",S.O. 4144(E),Flat Transparent Sheet Glass,IS 2835:1987,S.O. 4144(E),2021-10-07,-,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I,Architectural and industrial sheet glass,-,-,-,-,-,Superseded earlier 2020 orders (S.O. 738(E)),ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00064,QCO_Master_Records,8,7,"Safety Glass (Quality Control) Order, 2020",S.O. 1045(E),Safety Glass: Architectural & Road Transport,IS 2553 (Part 1,S.O. 1045(E),2020-03-12,-,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I,Laminated/toughened glass for buildings and automotive windscreens,-,S.O. 1431(E),-,-,-,-,ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00071,QCO_Master_Records,9,8,"Rubber Hose for LPG (Quality Control) Order, 2020",S.O. 478(E),Rubber Hose for LPG - Industrial & Domestic,IS 9573 (Part 1,S.O. 478(E),2020-01-28,-,Ministry of Petroleum & Natural Gas/DPIIT,DPIIT,MANDATORY,Scheme I,Hoses used in domestic LPG cylinder connections and industrial fuel-gas transmission systems,-,-,-,-,-,-,ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00074,QCO_Master_Records,10,9,"Aluminium Foil (Quality Control) Order, 2020",S.O. 687(E),Aluminium and Alloy Bare Foil for Food Packaging,IS 15392:2003,S.O. 687(E),2020-02-13,-,Ministry of Commerce & Industry,DPIIT,MANDATORY,Scheme I,Bare foil intended for direct contact food packaging,Excludes laminated composite barrier foils,-,-,-,-,-,ACTIVE,BIS Compulsory Certification Scheme-I Portal,BIS Portal
QCO,QCO-00054,QCO_Master_Records,11,10,Stainless Steel Pipes and Tubes (Quality Control) Order,No. tified Draft / Final Order (2024),Stainless Steel Seamless & Welded Pipes,IS 17875:2022 | IS 17876:2022,No. tified Draft / Final Order (2024),2024,-,Ministry of Steel/DPIIT,DPIIT,MANDATORY,Scheme I,"Seamless and welded stainless tubes for general, fluid, and pressure services",Excludes specialized aerospace tubing,-,-,-,-,-,DRAFT,BIS Compulsory Certification Scheme-I Portal,BIS Portal
