faq_id,question,answer,faq_category,related_is_text,related_product_text,related_qco_text,related_scheme_text,document_reference,source_url,source_reference_label,source_faq_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
FAQ-00001,Are hallmarking charges based on jewellery weight?,"No. Hallmarking charges are paid per article, irrespective of the article's weight.",,,,,,Hallmarking General FAQ Q13,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-015,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:63,CANONICAL,0,,,,5,45.45
FAQ-00002,Are product-specific technical guidelines available?,"Yes. BIS Product Manuals are available for certified products. They include sampling guidelines, test-equipment lists, Scheme of Inspection and Testing (SIT), product scope and related technical requirements.",,,,,,Product Certification FAQ Q8,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-008,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:9,CANONICAL,0,,,,5,45.45
FAQ-00003,Are separate applications needed for different brands manufactured at the same location?,No. The application is for the product at a manufacturing premise. The firm must provide an undertaking and relevant documents concerning the brand name.,,,,,,FMCS FAQ Q15,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-015,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:44,CANONICAL,0,,,,5,45.45
FAQ-00004,Are technical manuals available for FMCS applicants?,"Yes. Product Manuals and Schemes of Inspection and Testing are available for many Indian Standards and provide information such as infrastructure, SIT and sampling requirements.",,,,,,FMCS FAQ Q16,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-016,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:45,CANONICAL,0,,,,5,45.45
FAQ-00005,Are there Government regulations specifically governing hallmarking?,"Yes. The BIS (Hallmarking) Regulations, 2018 were notified on 14 June 2018.",,,,,,BIS Act and Regulation FAQ Q2,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-049,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:97,CANONICAL,0,,,,5,45.45
FAQ-00006,Can a BIS licensee participate in standards formulation/revision?,Yes. A BIS licensee can participate by becoming a member of the relevant technical committee and may submit comments to the concerned BIS technical department.,,,,,,Product Certification FAQ Q28,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-028,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:29,CANONICAL,0,,,,5,45.45
FAQ-00007,Can a common person get hallmarked jewellery tested for purity at an A&H Centre?,Yes. A consumer can get hallmarked jewellery/sample tested at a BIS-recognized A&H Centre after paying the applicable testing charge. BIS states ₹200 for testing by fire assay according to IS 1418.,,,,,,Hallmarking General FAQ Q25,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-028,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:76,CANONICAL,0,,,,5,45.45
FAQ-00008,Can a test report issued to an IEC or another international standard be accepted?,No. The FMCS FAQ states that only the test report according to the relevant Indian Standard is accepted.,,,,,,FMCS FAQ Q10,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-010,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:39,CANONICAL,0,,,,5,45.45
FAQ-00009,Can an A&H Centre refuse jewellery because of workload?,"No. The centre should not refuse to accept jewellery. It may inform the jeweller that testing will be delayed, and it should follow the First In, First Out (FIFO) principle.",,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-031,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:79,CANONICAL,0,,,,5,45.45
FAQ-00010,Can an A&H Centre return jewellery that does not match the purity or weight declared by the jeweller?,Yes. The A&H Centre can return jewellery that does not conform to the declared purity or weight details.,,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-032,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:80,CANONICAL,0,,,,5,45.45
FAQ-00011,Can an artisan or common person directly approach an A&H Centre for hallmarking?,No. Only BIS registered/certified jewellers can approach an Assaying & Hallmarking Centre for hallmarking jewellery.,,,,,,Hallmarking General FAQ Q21,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-024,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:72,CANONICAL,0,,,,5,45.45
FAQ-00012,Can an importer apply for a BIS licence on behalf of the foreign manufacturer?,"No. Under FMCS, the application must be made by the foreign manufacturer itself.",,,,,,FMCS FAQ Q17,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-017,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:46,CANONICAL,0,,,,5,45.45
FAQ-00013,Can FMCS fees be paid in USD or INR?,"For SAARC countries, payment may be made in USD or INR with GST. For other countries, payment is required in USD.",,,,,,FMCS FAQ Q9,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-009,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:38,CANONICAL,0,,,,5,45.45
FAQ-00014,Can I change the scope of an existing BIS product licence?,Yes. Varieties may be included or deleted through the applicable Change in Scope of Licence procedure and relevant guidelines.,,,,,,Product Certification FAQ Q23/Q24,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-024,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:25,CANONICAL,0,,,,5,45.45
FAQ-00015,Can I obtain a BIS licence if a Product Manual/SIT/grouping guideline/marking-fee rate is not available?,Yes. A first manufacturer may still obtain a BIS licence under Scheme-I. BIS interacts with the applicant to establish product-specific guidelines and marking-fee rates; this is treated as an All India First Licence situation.,,,,,,Product Certification FAQ Q9,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-009,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:10,CANONICAL,0,,,,5,45.45
FAQ-00016,Can inspection samples be tested at any ILAC/APLAC laboratory or government laboratory in the manufacturer's country?,"No. Samples drawn during BIS inspection must be tested at BIS laboratories or BIS-recognized laboratories. Samples drawn by BIS are sent to a laboratory in India by the applicant firm, and the applicant bears actual testing charges.",,,,,,FMCS FAQ Q11,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-011,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:40,CANONICAL,0,,,,5,45.45
