canonical_entity,canonical_entity_id,source_sheet,source_row,source_faq_ids,question,answer,product_category,related_is_text,related_product_text,related_qco_text,related_scheme_text,document_reference,source_url
FAQ,FAQ-00096,BIS_FAQs_Master,2,PC-FAQ-001,What is a BIS licence?,"A BIS licence is a licence granted under Section 13 of the BIS Act, 2016 to use a specified Standard Mark on goods or articles that conform to a standard.",Product Certification,General,Certified products,—,Scheme-I,BIS Act 2016; Product Certification FAQ Q1,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00030,BIS_FAQs_Master,3,PC-FAQ-002,How can I find the Indian Standard for my product if I do not know the IS number?,"Search for the Indian Standard corresponding to the product through Manakonline. If the relevant standard cannot be found, the manufacturer may contact the concerned BIS technical department.",Product Certification,General,Any product,—,Scheme-I,Product Certification FAQ Q2,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00045,BIS_FAQs_Master,4,PC-FAQ-003,Is BIS certification compulsory for my product?,"BIS certification is compulsory for products brought under compulsory certification by the Central Government under the BIS Act, 2016 or another applicable Act. A product appearing in BIS's compulsory-certification list requires BIS certification as applicable.",Product Certification,Applicable compulsory IS,Product covered by compulsory certification,Applicable QCO,Scheme-I/Scheme-X depending on product,Product Certification FAQ Q3,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00106,BIS_FAQs_Master,5,PC-FAQ-004,What must a manufacturer have before applying for a BIS licence?,"The manufacturer must have the required manufacturing infrastructure, appropriate process controls, quality-control arrangements and testing capabilities for the product according to the relevant Indian Standard, and the product must comply with the applicable standard.",Product Certification,Any applicable IS,Manufacturer's product,Applicable QCO,Scheme-I,Product Certification FAQ Q4,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00035,BIS_FAQs_Master,6,PC-FAQ-005,How does BIS grant a product-certification licence?,"BIS assesses manufacturing infrastructure, process controls, quality control and testing capabilities through a visit to the manufacturing premises. Product conformity is established through third-party laboratory testing, testing at the manufacturing premises or a combination of both.",Product Certification,Applicable IS,Certified product,Applicable QCO,Scheme-I,Product Certification FAQ Q5,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00082,BIS_FAQs_Master,7,PC-FAQ-006,What are the options for obtaining a BIS licence under Scheme-I?,BIS provides two options for obtaining a product-certification licence under Scheme-I. The detailed requirements are given in the Guidelines for Grant of Licence.,Product Certification,All Scheme-I IS,Any Scheme-I product,Applicable QCO,Scheme-I,Product Certification FAQ Q6,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00117,BIS_FAQs_Master,8,PC-FAQ-007,Where do I submit an application for BIS certification?,"BIS accepts product-certification applications online, including payments, through Manakonline. Applicants are advised to review the applicant user manual and portal FAQs before registering.",Product Certification,General,Any product,—,Scheme-I,Product Certification FAQ Q7,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00002,BIS_FAQs_Master,9,PC-FAQ-008,Are product-specific technical guidelines available?,"Yes. BIS Product Manuals are available for certified products. They include sampling guidelines, test-equipment lists, Scheme of Inspection and Testing (SIT), product scope and related technical requirements.",Product Certification,Applicable IS,Product-specific,Applicable QCO,Scheme-I,Product Certification FAQ Q8,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00015,BIS_FAQs_Master,10,PC-FAQ-009,Can I obtain a BIS licence if a Product Manual/SIT/grouping guideline/marking-fee rate is not available?,Yes. A first manufacturer may still obtain a BIS licence under Scheme-I. BIS interacts with the applicant to establish product-specific guidelines and marking-fee rates; this is treated as an All India First Licence situation.,Product Certification,New/first-licence IS,New product,—,Scheme-I,Product Certification FAQ Q9,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00020,BIS_FAQs_Master,11,PC-FAQ-010,Can one application cover different products and IS standards manufactured at the same factory?,No. A separate application is required for each product and Indian Standard even when they are manufactured at the same factory location.,Product Certification,Any multiple IS,Multiple products,Applicable QCO,Scheme-I,Product Certification FAQ Q10,https://www.bis.gov.in/product-certification/product-certification-faq/
