version_group_id,file_a,file_b,same_record_set,record_key_column,records_a,records_b,common_records,unique_records_a,unique_records_b,columns_a,columns_b,populated_cells_a,populated_cells_b,differing_cells,differing_columns,filename_suggests,content_verdict,filename_agrees_with_content,newer_by_content,older_by_content,direction_evidence,records_lost_if_older_archived,recommended_canonical_file,requires_review,phase4_action,pair_id
VG-000,BIS_Products_Details.xlsx,BIS_Products_Full_Information_v2.xlsx,NO,related_is_numbers,40,40,2,38,36,11,11,440,440,18,alternate_names; category; description; keywords; product_id; product_name; related_schemes; source_url; subcategory,"B labelled _v2, A unlabelled",COMPLEMENTARY,content does not establish a version order,UNDETERMINED,UNDETERMINED,"INCONCLUSIVE: 18 conflicts, both sides carry real values (a_blank=0 b_blank=2 a_artefact=0 b_artefact=0) - no side is demonstrably the later revision",74,MERGE_UNION,YES,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0076
VG-001,BIS_Products_Full_Information.xlsx,BIS_Products_Full_Information_v2.xlsx,YES,product_name,40,40,40,0,0,11,11,440,440,3,description; product_id,"B labelled _v2, A unlabelled",VERSION_NEWER,YES - the higher label is also the later revision by content,BIS_Products_Full_Information_v2.xlsx,BIS_Products_Full_Information.xlsx,REPAIR: A carries a raw-scrape artefact in 1 conflicting cells that B has replaced with a clean value,0,BIS_Products_Full_Information_v2.xlsx,NO,Load the later revision as canonical; retain the earlier file as an archived original and keep its differing cells in CONFLICTS.csv.,DC-0090
VG-002,BIS_QCO-schema_2.xlsx,BIS_QCO_Master_Records (1).xlsx,NO,is_numbers,40,15,6,34,9,22,22,880,244,64,amendments; exclusions; ministry; notification_date; notification_number; official_document_url; product; qco_id; qco_name; qco_number; schemes; scope …(+2),"B labelled  (1), A unlabelled",COMPLEMENTARY,content does not establish a version order,UNDETERMINED,UNDETERMINED,"INCONCLUSIVE: 64 conflicts, both sides carry real values (a_blank=6 b_blank=0 a_artefact=0 b_artefact=0) - no side is demonstrably the later revision",43,MERGE_UNION,YES,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0109
VG-003,BIS_QCO-schema_2.xlsx,BIS_QCO_Master_Records_v3.xlsx,NO,is_numbers,40,12,12,28,0,22,22,880,251,176,amendments; corrigendas; department; effective_date; exclusions; extensions; ministry; notification_date; notification_number; official_document_url; product; qco_id …(+6),"B labelled _v3, A unlabelled",DUPLICATE_WITH_UNIQUE_DATA,content does not establish a version order,UNDETERMINED,UNDETERMINED,"INCONCLUSIVE: 176 conflicts, both sides carry real values (a_blank=35 b_blank=10 a_artefact=0 b_artefact=0) - no side is demonstrably the later revision",28,MERGE_UNION,YES,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0111
VG-004,BIS_QCO_Master_Records (1).xlsx,BIS_QCO_Master_Records.xlsx,NO,product,15,3,1,14,2,22,22,244,56,9,current_status; department; exclusions; is_numbers; ministry; qco_id; qco_name; schemes; scope,"A labelled  (1), B unlabelled",COMPLEMENTARY,content does not establish a version order,UNDETERMINED,UNDETERMINED,"INCONCLUSIVE: 9 conflicts, both sides carry real values (a_blank=0 b_blank=0 a_artefact=0 b_artefact=0) - no side is demonstrably the later revision",16,MERGE_UNION,YES,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0125
VG-005,BIS_QCO_Master_Records (1).xlsx,BIS_QCO_Master_Records_v3.xlsx,NO,product,15,12,0,15,12,22,22,244,251,0,NONE,"A labelled  (1), B labelled _v3",COMPLEMENTARY,content does not establish a version order,UNDETERMINED,UNDETERMINED,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,27,MERGE_AFTER_REKEY,YES,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0126
VG-006,BIS_QCO_Master_Records.xlsx,BIS_QCO_Master_Records_v3.xlsx,NO,product,3,12,0,3,12,22,22,56,251,0,NONE,"B labelled _v3, A unlabelled",LIKELY_DUPLICATE,content does not establish a version order,UNDETERMINED,UNDETERMINED,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,15,MERGE_AFTER_REKEY,YES,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0137
VG-007,BIS_QCO_Master_Scheme_1.xlsx,BIS_Scheme_IV_FMCS.xlsx,YES,is_number,40,40,40,0,0,11,13,440,520,41,product; scope,neither filename carries a version label,COMPLEMENTARY,content does not establish a version order,UNDETERMINED,UNDETERMINED,"INCONCLUSIVE: 41 conflicts, both sides carry real values (a_blank=0 b_blank=0 a_artefact=0 b_artefact=0) - no side is demonstrably the later revision",0,MERGE_UNION,YES,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0144
VG-008,BIS_Scheme_X_Industrial.xlsx,BIS_Scheme_X_Industrial_v2.xlsx,YES,product,5,5,5,0,0,14,14,70,70,0,NONE,"B labelled _v2, A unlabelled",IDENTICAL_CONTENT,filename implies a version difference that the content contradicts - the files are content-equal,NEITHER_CONTENT_IS_EQUAL,NEITHER_CONTENT_IS_EQUAL,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,0,BIS_Scheme_X_Industrial.xlsx,NO,Archive the redundant copy to 99_RAW_ORIGINALS/ARCHIVE_OR_DUPLICATES/ AFTER the canonical dataset is built and validated; keep it recoverable.,DC-0180
VG-009,BIS_Scheme_X_Industrial_v2.xlsx,BIS_Schemes_Master.xlsx,NO,product,5,40,0,5,40,14,14,70,560,0,NONE,"A labelled _v2, B unlabelled",DIFFERENT_ENTITY,content does not establish a version order,UNDETERMINED,UNDETERMINED,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,45,BOTH_KEEP_SEPARATE,NO,Do NOT treat as a version pair. Merge on the record key and preserve every record from both files.,DC-0183
