canonical_entity,canonical_entity_id,source_sheet,source_row,source_product_ids,product_name,alternate_names,product_category,product_subcategory,product_description,keywords,related_is_text,related_qco_text,related_scheme_text,source_url
PRODUCT,PROD-00313,Products_Details,2,27280 (from standard record endpoint),Work Chairs - Specification,None / Not specified (Superseding IS: None),Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"IS 17631: 2022 deals with specifications for work chairs, which include completely manufactured or ready-to-assemble chairs used in office environments. This standard covers various chair types, ensuring they meet ergonomic, strength, and durability requirements. It defines performance criteria focusing on stability, strength, and durability tests to simulate normal and extreme use conditions, as well as requirements for materials, design, workmanship, surface resistance to mechanical damage, and environmental factors.",Ergonomic office chairs | durable work chairs | adjustable chairs | office furniture standards | ergonomic seating solutions | office chair,IS 17631:2022,2 Gazette Documents listed (Click to download section),"Product Specification (Product Manual & SIT: 1, Active Licenses: 40, Labs: 13)",Indian Standards - BIS Connect
PRODUCT,PROD-00107,Products_Details,3,IS 17632:2022,General Purpose Chairs and Stools - Specification,None (New Standard superseding previous general seating standards),Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"Specifies performance, safety, strength, stability, and durability requirements for completely manufactured and ready-to-assemble general purpose chairs and stools used in residential, commercial, educational, and public seating areas.",General purpose chairs | stools | seating furniture | chair stability | durability testing | CED 35,IS 17632:2022 | IS 17637,Furniture (Quality Control) Order,"Product Specification (Scheme-I, ISI Mark)",Indian Standards - BIS Connect
PRODUCT,PROD-00286,Products_Details,4,IS 17633:2022,Tables and Desks - Specification,None (New Standard),Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"Covers safety, stability, strength, and structural performance requirements for general, office, institutional, and domestic tables and desks.",Tables | desks | office tables | study desks | stability testing | furniture specification,IS 17633:2022,Furniture (Quality Control) Order (2 Gazette Documents),"Product Specification (Product Manual & SIT: 1, Active Licenses: 79, Labs: 14)",Indian Standards - BIS Connect
PRODUCT,PROD-00275,Products_Details,5,IS 17634:2022,Storage Units - Specification,None (New Standard),Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"Specifies requirements related to performance, structural integrity, and safety (including tip-over and overturning stability, shelf load-bearing capacity, and drawer strength) for domestic and institutional storage units like wardrobes, almirahs, cabinets, bookshelves, and filing units.",Storage units | wardrobes | almirahs | filing cabinets | cupboards | shelving units | tip-over stability,IS 17634:2022 | IS 17637,Furniture (Quality Control) Order,"Product Specification (Scheme-I, ISI Mark)",Indian Standards - BIS Connect
PRODUCT,PROD-00052,Products_Details,6,IS 17635:2022,Beds - Specification,None (New Standard),Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"Outlines the design, strength, safety, and durability criteria for adult beds intended for domestic and non-domestic/commercial applications.",Beds | adult beds | cot | bed frames | domestic furniture | furniture strength,IS 17635:2022,Furniture (Quality Control) Order,"Product Specification (Scheme-I, ISI Mark)",Indian Standards - BIS Connect
PRODUCT,PROD-00057,Products_Details,7,IS 17636:2022,Bunk Beds and High Beds - Specification,None (New Standard),Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"Specifies requirements regarding structural safety, stability, entrapment hazard prevention, guardrails, and strength for bunk beds and elevated/high beds.",Bunk beds | high beds | loft beds | elevated beds | entrapment hazards | safety barriers,IS 17636:2022,Furniture (Quality Control) Order,"Product Specification (Scheme-I, ISI Mark)",Indian Standards - BIS Connect
PRODUCT,PROD-00084,Products_Details,8,IS 2347:2023,Domestic Pressure Cooker - Specification (Seventh Revision),Domestic Pressure Cookers (Supersedes IS 2347:2017),Mechanical Engineering Department (MED),"MED 33 (Utensils, Cutlery and Domestic Hardware Sectional Committee)","Covers construction, nominal capacities (1 L to 22 L), material safety (food grade), pressure regulation, safety release mechanisms, lid locking, and heat-resistant handle requirements for domestic pressure cookers.",Domestic pressure cooker | safety valve | pressure release device | ISI pressure cooker | MED 33 | food grade,IS 2347:2023,Domestic Pressure Cooker (Quality Control) Order (Mandatory Certification),"Product Specification (Scheme-I, Mandatory ISI Mark, 440+ Licenses)",Standard Details - Bureau of Indian Standards
PRODUCT,PROD-00277,Products_Details,9,IS 12330:1998,Sulphate Resisting Portland Cement,SRPC | Sulphate Resistant Cement,Civil Engineering/Construction Materials,Hydraulic Binders/Special Portland Cements,"Specification covering the manufacturing, chemical composition, physical properties, and testing of Sulphate Resisting Portland Cement (SRPC) with controlled C3A content for concrete exposed to aggressive sulphate conditions.",SRPC | sulphate resisting cement | C3A content | marine concrete | IS 12330 | BIS certification,IS 269 | IS 4031 | IS 4032 | IS 456,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark Certification Scheme),BIS Connect - IS Details
PRODUCT,PROD-00123,Products_Details,10,IS 12600:1989,Low Heat Portland Cement,LHPC | Low Heat Cement,Civil Engineering/Construction Materials,Hydraulic Binders/Special Portland Cements,"Standard specifying chemical and physical requirements for Low Heat Portland Cement, designed to limit the heat of hydration in mass concrete structures such as dams and thick foundations.",low heat cement | LHPC | mass concreting | heat of hydration | IS 12600 | BIS,IS 269 | IS 4031 | IS 457,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00152,Products_Details,11,IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification - Part 1: Fly Ash Based,PPC (Fly Ash Based) | Blended Cement,Civil Engineering/Construction Materials,Blended Hydraulic Cements,"Specifies the manufacturing, chemical, and physical performance requirements for Portland Pozzolana Cement manufactured using pulverized fuel ash (fly ash).",PPC | fly ash cement | pozzolana | blended cement | IS 1489 Part 1,IS 1489 (Part 2) | IS 3812 | IS 4031 | IS 269,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark Scheme),BIS Connect - IS Details
