pair_id,file_a,sheet_a,file_b,sheet_b,columns_a,columns_b,common_columns,unique_columns_a,unique_columns_b,column_jaccard,schema_verdict,common_column_list,unique_a_list,unique_b_list,entity_jaccard_max,deep_compared,deep_compare_reason
SC-0000,05_scheme_ii.csv,05_scheme_ii,06_scheme_iv.csv,06_scheme_iv,22,23,21,1,2,0.875,SCHEMA_SUBSTANTIALLY_IDENTICAL,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_id; scheme_label; scheme_record_id; scraper_engine; source_id; source_url; sr_no; standard_year …(+1),table_caption,notification_document_url; specific_requirement,0.0,YES,SCHEMA_JACCARD>=0.25
SC-0001,05_scheme_ii.csv,05_scheme_ii,07_scheme_x.csv,07_scheme_x,22,23,21,1,2,0.875,SCHEMA_SUBSTANTIALLY_IDENTICAL,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_id; scheme_label; scheme_record_id; scraper_engine; source_id; source_url; sr_no; standard_year …(+1),table_caption,notification_document_url; specific_requirement,0.0,YES,SCHEMA_JACCARD>=0.25
SC-0002,05_scheme_ii.csv,05_scheme_ii,17_source_conflicts.csv,17_source_conflicts,22,14,0,22,14,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),conflict_id; detected_at; entity_key; entity_type; field_name; notes; resolution_rule; resolved_value; source_a_id; source_a_url; source_b_id; source_b_url …(+2),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0003,05_scheme_ii.csv,05_scheme_ii,BIS_Combined_Testing_Master.xlsx,Combined_Testing_Master,22,12,1,21,11,0.0303,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),acceptance_criteria; clause; frequency; method; method_standard; parameter; remarks; required_equipment; sample_size; test_id; test_name,0.0139,NO,NO_CONTENT_LINK_DETECTED
SC-0004,05_scheme_ii.csv,05_scheme_ii,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,22,10,1,21,9,0.0323,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),answer; category; document_reference; faq_id; question; related_is; related_product; related_qco; related_scheme,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0005,05_scheme_ii.csv,05_scheme_ii,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,22,12,1,21,11,0.0303,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),capability; clause; is_number; lab_id; product; scope_id; scope_status; scope_validity; test_method; test_name; testing_charge,0.0143,NO,NO_CONTENT_LINK_DETECTED
SC-0006,05_scheme_ii.csv,05_scheme_ii,BIS_Mandatory_Hallmarking_Orders.xlsx,Mandatory_Hallmarking_Orders,22,14,1,21,13,0.0286,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),amendment; district_phase; document_url; effective_date; exemption; fineness; geographical_applicability; mandatory_status; metal; order_id; order_number; order_title …(+1),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0007,05_scheme_ii.csv,05_scheme_ii,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,22,14,2,20,12,0.0588,SCHEMA_WEAK_OVERLAP,source_url; title,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+8),date; department; document_url; effective_date; ministry; notification_id; notification_number; related_amendment; related_is; related_qco; subject; type,0.0192,NO,NO_CONTENT_LINK_DETECTED
SC-0008,05_scheme_ii.csv,05_scheme_ii,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,22,20,1,21,19,0.0244,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),document_url; grouping_guidelines; inspection_requirements; is_number; licensing_requirements; manual_id; manual_title; marking_requirements; process_requirements; product; raw_material_requirements; revision_date …(+7),0.0152,NO,NO_CONTENT_LINK_DETECTED
SC-0009,05_scheme_ii.csv,05_scheme_ii,BIS_Products_Details.xlsx,Products_Details,22,11,2,20,9,0.0645,SCHEMA_WEAK_OVERLAP,product_name; source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; raw_is_number; record_status; retrieval_timestamp; scheme_id …(+8),alternate_names; category; description; keywords; product_id; related_is_numbers; related_qcos; related_schemes; subcategory,0.0152,NO,NO_CONTENT_LINK_DETECTED
SC-0010,05_scheme_ii.csv,05_scheme_ii,BIS_Products_Full_Information.xlsx,Products_Details,22,11,2,20,9,0.0645,SCHEMA_WEAK_OVERLAP,product_name; source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; raw_is_number; record_status; retrieval_timestamp; scheme_id …(+8),alternate_names; category; description; keywords; product_id; related_is_numbers; related_qcos; related_schemes; subcategory,0.013,NO,NO_CONTENT_LINK_DETECTED
SC-0011,05_scheme_ii.csv,05_scheme_ii,BIS_Products_Full_Information_v2.xlsx,Products_Details,22,11,2,20,9,0.0645,SCHEMA_WEAK_OVERLAP,product_name; source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; raw_is_number; record_status; retrieval_timestamp; scheme_id …(+8),alternate_names; category; description; keywords; product_id; related_is_numbers; related_qcos; related_schemes; subcategory,0.013,NO,NO_CONTENT_LINK_DETECTED
