file_id,original_filename,sheet_name,exact_column_name,normalized_column_name,semantic_type,placeholder_token,occurrences,total_rows,informative_values,null_policy,missing_reason,phase4_action
F035,bis_laboratories.csv,bis_laboratories,accreditation_validity,accreditation_validity,DATE,-,67,431,364,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,deferments,deferments,EMPTY_COLUMN,-,15,15,0,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,corrigendas,corrigendas,EMPTY_COLUMN,-,15,15,0,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,effective_date,effective_date,EFFECTIVE_DATE,-,14,15,1,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,extensions,extensions,UNCLASSIFIED_STRING,-,14,15,1,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,supersession,supersession,UNCLASSIFIED_STRING,-,14,15,1,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,exclusions,exclusions,DESCRIPTIVE_TEXT,-,7,15,8,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,amendments,amendments,UNCLASSIFIED_STRING,-,7,15,8,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,grouping_guidelines,grouping_guidelines,UNCLASSIFIED_STRING,not applicable,3,40,37,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_ABSENCE_OR_UNKNOWN,"Cannot decide absence vs unknown from this column's subject. Write NULL, set status=REQUIRES_REVIEW, and log to CONFLICTS.csv. Do not guess."
F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,raw_material_requirements,raw_material_requirements,UNCLASSIFIED_STRING,not applicable,2,40,38,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_ABSENCE_OR_UNKNOWN,"Cannot decide absence vs unknown from this column's subject. Write NULL, set status=REQUIRES_REVIEW, and log to CONFLICTS.csv. Do not guess."
F035,bis_laboratories.csv,bis_laboratories,lab_id,lab_id,LAB_ID,-,1,431,430,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F035,bis_laboratories.csv,bis_laboratories,address,address,ADDRESS,-,1,431,430,AMBIGUOUS_REQUIRES_REVIEW,AMBIGUOUS_DASH_MARKER,"A bare dash is used in this corpus for both 'none' and 'not recorded'. Write NULL, set status=REQUIRES_REVIEW. Do not guess."
F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,deferments,deferments,EMPTY_COLUMN,none,12,12,0,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,superseding standard,superseding_standard,IS_RELATIONSHIP,none,7,40,0,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F028,BIS_Standards_Details_v2.xlsx,BIS Standards,superseding standard,superseding_standard,IS_RELATIONSHIP,none,7,40,0,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F029,BIS_Standards_Details_v3.xlsx,BIS Standards,superseding standard,superseding_standard,IS_RELATIONSHIP,none,7,40,0,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,superseded standard,superseded_standard,IS_RELATIONSHIP,none,6,40,34,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F028,BIS_Standards_Details_v2.xlsx,BIS Standards,superseded standard,superseded_standard,IS_RELATIONSHIP,none,6,40,34,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F029,BIS_Standards_Details_v3.xlsx,BIS Standards,superseded standard,superseded_standard,IS_RELATIONSHIP,none,6,40,34,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,deferments,deferments,EMPTY_COLUMN,none,3,3,0,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,corrigendas,corrigendas,EMPTY_COLUMN,none,3,3,0,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,supersession,supersession,EMPTY_COLUMN,none,3,3,0,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
