canonical_entity,canonical_entity_id,source_sheet,source_row,source_record_id,entity_type,field_name,review_reason,source_url,resolution_needed
REVIEW_QUEUE,,,2,ALL-FMCS-RECORDS,fmcs_manufacturer,AIR,BIS does not publish the identity of the Authorized Indian Representative for an individual licence anywhere in the All FMCS list or on any linked public page. The scheme-level AIR requirement is recorded verbatim instead. Per-licence AIR name was NOT inferred.,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Requires a BIS source that publishes AIR per licence; none found on official sources
REVIEW_QUEUE,,,3,ALL-FMCS-RECORDS,fmcs_manufacturer,fees,BIS does not publish the fee actually paid or assessed for an individual licence. Only the scheme-wide fee structure is public.,https://www.bis.gov.in/fmcs/fmcs-fee/?lang=en,Per-licence fee is not public information; leave as scheme-level
REVIEW_QUEUE,,,4,ALL-FMCS-RECORDS,fmcs_manufacturer,machinery_requirements,Product-specific and per-factory machinery is declared by the applicant in Form I and is not published by BIS. Only the scheme-level obligation is public.,https://www.bis.gov.in/fmcs/certification-process/who-can-apply/?lang=en,Would require the IS-specific Product Manual / Scheme of Inspection and Testing for each of the 423 IS numbers
REVIEW_QUEUE,,,5,ALL-FMCS-RECORDS,fmcs_manufacturer,testing_facilities,Product-specific test equipment is declared in Form II and is not published by BIS per licence.,https://www.bis.gov.in/fmcs/certification-process/who-can-apply/?lang=en,Would require the IS-specific Product Manual / SIT for each IS number
REVIEW_QUEUE,,,6,ALL-FMCS-RECORDS,fmcs_manufacturer,competent_personnel,BIS publishes only the scheme-level obligation to have competent testing personnel; no per-licence personnel data exists on official sources.,https://www.bis.gov.in/fmcs/certification-process/who-can-apply/?lang=en,No official per-licence source exists
REVIEW_QUEUE,,,7,ALL-FMCS-RECORDS,fmcs_manufacturer,documents,"The 20 retrieved documents are scheme-level FMCS instruments. No IS-specific or licence-specific document set is published, so the same document list applies to every licence.",https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,IS-specific Product Manuals and SIT documents would allow per-record document linkage
REVIEW_QUEUE,,,8,106-FMCS-RECORDS,fmcs_manufacturer,product,"For 106 of the 3135 records BIS renders the Variety/Brand Names cell with only the label placeholders and a bare colon - literally ':' - and no product text. Recorded as NULL in topic18 and as a NULL / UNVERIFIED / LOW provenance row whose evidence_text quotes the verbatim cell. The bare colon was NOT carried into the schema as if it were a product value, and product scope was NOT guessed from the IS number. The verbatim cell content is preserved in the raw layer.",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,"BIS would need to populate the Variety/Brand Names field, or the per-record getVariety.php modal could be queried (3135 requests, deliberately not issued to avoid hammering BIS servers)"
REVIEW_QUEUE,,,9,2-FMCS-RECORDS,fmcs_manufacturer,factory,2 of 3135 records have neither an Address nor a City line in the Name & Address cell. Recorded as NULL.,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,BIS data-quality gap at source
REVIEW_QUEUE,,,10,DOC-FMCS-FORM-IX-AGREEMENT-ALTURL,official_document,download_URL,"BIS links a URL that returns HTTP 200 with content-type text/html and no %PDF- magic bytes - a soft 404. The document itself is available at the lower-case variant agreementFormIX.pdf, which was retrieved and hashed.",https://www.bis.gov.in/wp-content/uploads/2018/11/AgreementFormIX.pdf,Broken link on the BIS site; report to BIS. Content available via the canonical URL
REVIEW_QUEUE,,,11,DOC-FMCS-FORM-XI-PBG-ALTURL,official_document,download_URL,"BIS links a URL that returns HTTP 200 with content-type text/html and no %PDF- magic bytes - a soft 404. The document is available at PerformanceBankGuaranteePBGFormXI-1.pdf, which was retrieved and hashed.",https://www.bis.gov.in/wp-content/uploads/2018/11/PERFORMANCEBANKGUARANTEEPBGformXI.pdf,Broken link on the BIS site; report to BIS. Content available via the canonical URL
