relationship_id,entity_type,entity_id,entity_label,document_id,document_type,title,source_url,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-ENTITY-0000001,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,2,1.00,
REL-ENTITY-0000002,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00006,,Nomination of Authorized Indian Representative (AIR) - Form VI,,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,3,1.00,
REL-ENTITY-0000003,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,4,1.00,
REL-ENTITY-0000004,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,5,1.00,
REL-ENTITY-0000005,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,6,1.00,
REL-ENTITY-0000006,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,7,1.00,
REL-ENTITY-0000007,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00018,,Renewal Application (Form XII),,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,8,1.00,
REL-ENTITY-0000008,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,9,1.00,
REL-ENTITY-0000009,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,10,1.00,
REL-ENTITY-0000010,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,11,1.00,
REL-ENTITY-0000011,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,12,1.00,
REL-ENTITY-0000012,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00004,,Conditions of Licence,,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,13,1.00,
REL-ENTITY-0000013,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00005,,FMCS Application Submission User Manual,,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,14,1.00,
REL-ENTITY-0000014,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00005,,FMCS Application Submission User Manual,,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,15,1.00,
REL-ENTITY-0000015,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00003,,Dimensions of ISI Mark,,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,16,1.00,
REL-ENTITY-0000016,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00016,,Prescribed formats for inclusion of new varieties,,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,17,1.00,
REL-ENTITY-0000017,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,18,1.00,
REL-ENTITY-0000018,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00012,,List of Fee (FMCS Fee Structure),,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,19,1.00,
REL-ENTITY-0000019,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00012,,List of Fee (FMCS Fee Structure),,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,20,1.00,
REL-ENTITY-0000020,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00005,,FMCS Application Submission User Manual,,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,21,1.00,
REL-ENTITY-0000021,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,22,1.00,
REL-ENTITY-0000022,SCHEME,SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",DOC-00015,,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,EVIDENCED_BY,related_scheme_text,related_scheme_text,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,F046,output__topic19_official_documents.csv,,23,1.00,
