relationship_id,notification_id,notification_number,target_entity,target_entity_id,target_entity_label,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-NOTIFI-0000001,NOTIF-00024,"Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 dated 03rd October 2012; No. tification No. S.O. 2357(E) dated 07 September 2012; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",STANDARD,STD-01756,IS/IEC 62368 (Part 1),NOTIFIES,notification_number,notification_number,"Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 dated 03rd October 2012; No. tification No. S.O. 2357(E) dated 07 September 2012; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",,F001,05_scheme_ii.csv,,2,1.00,
REL-NOTIFI-0000002,NOTIF-00025,"Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 dated 13th No. vember 2012; No. tification No. S.O. 2905(E) dated 07 No. vember 2014; No. tification No. S.O. 344(E) dated 30 No. vember 2015; S.O. 2578(E) dated 07 August 2015; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",STANDARD,STD-01756,IS/IEC 62368 (Part 1),NOTIFIES,notification_number,notification_number,"Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 dated 13th No. vember 2012; No. tification No. S.O. 2905(E) dated 07 No. vember 2014; No. tification No. S.O. 344(E) dated 30 No. vember 2015; S.O. 2578(E) dated 07 August 2015; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",,F001,05_scheme_ii.csv,,17,1.00,
REL-NOTIFI-0000003,NOTIF-00473,"S.O. No. Nil dated 24th Oct 2016; dated of Implementation 1st July 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",STANDARD,STD-00644,IS 16333 (Part 3),NOTIFIES,notification_number,notification_number,"S.O. No. Nil dated 24th Oct 2016; dated of Implementation 1st July 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",,F001,05_scheme_ii.csv,,32,1.00,
REL-NOTIFI-0000004,NOTIF-00449,"S.O. 2742(E), dated 17th August 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Essential Requirement(s) for CCTV as per Annexure S.O. 1652(E), dated 9th April 2024; Amendments S.O. 1246(E) dated 10 March, 2026",STANDARD,STD-00050,IS 10322 (Part 5),NOTIFIES,notification_number,notification_number,"S.O. 2742(E), dated 17th August 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Essential Requirement(s) for CCTV as per Annexure S.O. 1652(E), dated 9th April 2024; Amendments S.O. 1246(E) dated 10 March, 2026",,F001,05_scheme_ii.csv,,33,1.00,
REL-NOTIFI-0000005,NOTIF-00438,"S.O. 1236(E) dated 01st April, 2020; dated of Implementation of this order on the expiry of six months from the dated of publication of this No. tification. (01st October, 2020); Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",STANDARD,STD-00612,IS 16103 (Part 1),NOTIFIES,notification_number,notification_number,"S.O. 1236(E) dated 01st April, 2020; dated of Implementation of this order on the expiry of six months from the dated of publication of this No. tification. (01st October, 2020); Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",,F001,05_scheme_ii.csv,,46,1.00,
REL-NOTIFI-0000006,NOTIF-00019,"Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O. 2204(E) dated 05 May, 2026",STANDARD,STD-01756,IS/IEC 62368 (Part 1),NOTIFIES,notification_number,notification_number,"Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O. 2204(E) dated 05 May, 2026",,F001,05_scheme_ii.csv,,51,1.00,
REL-NOTIFI-0000007,NOTIF-00452,"S.O. 3429(E) dated 1 October 2020; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",STANDARD,STD-01756,IS/IEC 62368 (Part 1),NOTIFIES,notification_number,notification_number,"S.O. 3429(E) dated 1 October 2020; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",,F001,05_scheme_ii.csv,,58,1.00,
REL-NOTIFI-0000008,NOTIF-00443,"S.O. 1929(E) dated 26/04/2023; S.O. 1363(E) dated 21 March 2025; S.O. 4362(E) dated 25 September 2025; S.O. 1246(E) dated 10 March, 2026; S.O. 4182(E) dated 26 July 2026",STANDARD,STD-00852,IS 18112,NOTIFIES,notification_number,notification_number,"S.O. 1929(E) dated 26/04/2023; S.O. 1363(E) dated 21 March 2025; S.O. 4362(E) dated 25 September 2025; S.O. 1246(E) dated 10 March, 2026; S.O. 4182(E) dated 26 July 2026",,F001,05_scheme_ii.csv,,65,1.00,
REL-NOTIFI-0000009,NOTIF-00428,Migration to IS/IEC 62368 : Part 1 : 2023 from IS 13252 : Part 1 : 2010 and IS 616: 2017 - S.O. 4997(E) dated 04 No. vember 2025,STANDARD,STD-01756,IS/IEC 62368 (Part 1),NOTIFIES,notification_number,notification_number,Migration to IS/IEC 62368 : Part 1 : 2023 from IS 13252 : Part 1 : 2010 and IS 616: 2017 - S.O. 4997(E) dated 04 No. vember 2025,,F001,05_scheme_ii.csv,,66,1.00,
REL-NOTIFI-0000010,NOTIF-00472,"S.O. lar Photovoltaics, Systems, Devices and Components Goods (Requirements for Compulsory Registration) Order, 2017 S.O. 2920(E) dated 30 August 2017; S.O. 1602(E) dated 16 April 2018; S.O. No. 2183(E) dated 30 May 2018; S.O. No. 5259(E) dated 12 October 2018; S.O. 444(E), dated 24 January 2023; S.O. 492(E) dated 27 January 2025; S.O. lar System, Devices and Components Goods Order, 2025 for SPV Inverters of the capacity more than 200 KW S.O. 3597(E) dated 05 August, 2025",STANDARD,STD-00366,IS 14286,NOTIFIES,notification_number,notification_number,"S.O. lar Photovoltaics, Systems, Devices and Components Goods (Requirements for Compulsory Registration) Order, 2017 S.O. 2920(E) dated 30 August 2017; S.O. 1602(E) dated 16 April 2018; S.O. No. 2183(E) dated 30 May 2018; S.O. No. 5259(E) dated 12 October 2018; S.O. 444(E), dated 24 January 2023; S.O. 492(E) dated 27 January 2025; S.O. lar System, Devices and Components Goods Order, 2025 for SPV Inverters of the capacity more than 200 KW S.O. 3597(E) dated 05 August, 2025",,F001,05_scheme_ii.csv,,67,1.00,
