canonical_entity,canonical_entity_id,source_sheet,source_row,source_legal_ids,title,instrument_number,metal,fineness,mandatory_status,geographical_applicability,district_phase,effective_date,amendment,exemption,qco_supersession,document_url,source_url
LEGAL,LEGAL-00144,Mandatory_Hallmarking_Orders,2,HMO-2020-001,"Hallmarking of Gold Jewellery and Gold Artefacts Order, 2020",S.O. 205(E),Gold,Gold jewellery and gold artefacts covered by the applicable BIS standard,MANDATORY,District-based applicability established through subsequent amendments; principal order created the mandatory framework,Principal Order,NONE,Principal order establishing mandatory hallmarking framework,"Articles meant for export to foreign buyers according to specifications; articles weighing less than 2 g; articles consigned from outside India to recognized A&H centres for hallmarking; articles intended for medical, dental, veterinary, scientific or industrial purposes; gold thread; articles not substantially complete and intended for further manufacture; gold bullion in specified bar/plate/sheet/foil/rod/wire/strip/tube/coin forms","Continues as principal order, subject to all subsequent amendments",Official BIS Order PDF,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00148,Mandatory_Hallmarking_Orders,3,HMO-2020-002,"Hallmarking of Gold Jewellery and Gold Artefacts (Amendment) Order, 2020",S.O. 3513(E),Gold,Same as principal order,MANDATORY,Same geographical framework as principal order,Pre-phased implementation,2021-06-01,Changed commencement date of principal order from 15-Jan-2021 to 01-Jun-2021,Principal-order exemptions continue,Amends S.O. 205(E),Official BIS amendment document,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00145,Mandatory_Hallmarking_Orders,4,HMO-2021-001,"Hallmarking of Gold Jewellery and Gold Artefacts (Amendment) Order, 2021",S.O. 2102(E),Gold,Same as principal order,MANDATORY,Same geographical framework,Pre-Phase-I transition,2021-06-16,Further changed commencement date to 16-Jun-2021,Principal-order exemptions continue,"Amends S.O. 205(E), as amended by S.O. 3513(E)",Official BIS amendment document,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00147,Mandatory_Hallmarking_Orders,5,HMO-2021-002,"Hallmarking of Gold Jewellery and Gold Artefacts (Second Amendment) Order, 2021",S.O. 2481(E),Gold,"14K/585, 18K/750 and 22K/916",MANDATORY,Only districts specified in the Annexure,Phase I — 256 districts,2021-06-23,"Inserted district-specific applicability and specified 14, 18 and 22 carat gold jewellery/artefacts; added specific export/re-import and exhibition exemptions",Export/re-import according to Government trade policy; articles intended for international exhibitions; principal exemptions remain,Amends S.O. 205(E),Official BIS QCO/amendment PDF,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00143,Mandatory_Hallmarking_Orders,6,HMO-2022-001,"Hallmarking of Gold Jewellery and Gold Artefacts (Amendment) Order, 2022",S.O. 1594(E),Gold,Applicable grades under IS 1417; removal of restriction wording to only 14K/18K/22K,MANDATORY,Districts listed in substituted Annexure,Phase II — 32 additional districts; total 288,2022-06-01,"Removed wording restricting Clause 1A to “14, 18 and 22 caratages”; substituted the district Annexure",Principal-order exemptions continue,Amends S.O. 205(E) and substitutes its Annexure,Official BIS amendment PDF,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00140,Mandatory_Hallmarking_Orders,7,HMO-2023-001,"Hallmarking of Gold Jewellery and Gold Artefacts (Amendment) Order, 2023",S.O. 1047(E),Gold,Permitted grades under IS 1417,MANDATORY,Existing notified districts,Existing mandatory districts,2023-03-03,Strengthened mandatory sale/display provisions for hallmarked gold jewellery/artefacts according to IS 1417:2016 as amended,Existing principal-order exemptions,"Amends S.O. 205(E), as subsequently amended",Official BIS amendment document,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00142,Mandatory_Hallmarking_Orders,8,HMO-2023-002,"Hallmarking of Gold Jewellery and Gold Artefacts (Second Amendment) Order, 2023",S.O. 1555(E),Gold,Permitted grades under IS 1417,MANDATORY,Existing notified districts,Old-stock transition,2023-03-31,"Permitted declared old stock carrying the earlier hallmarking system, subject to prescribed conditions, to continue to be sold/displayed/offered for the specified transition period",Declared old stock satisfying prescribed pre-1-Jul-2021 conditions,Amends S.O. 205(E),Official BIS amendment document,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00150,Mandatory_Hallmarking_Orders,9,HMO-2023-003,"Hallmarking of Gold Jewellery and Gold Artefacts (Third Amendment) Order, 2023",S.O. 3967(E),Gold,Applicable IS 1417 grades,MANDATORY,Districts in substituted Annexure,Phase III — 55 additional districts,2023-09-06,Replaced the earlier district Annexure with expanded notified-district list,Principal-order exemptions continue,Substitutes the Annexure to S.O. 205(E),Official BIS amendment PDF,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00152,Mandatory_Hallmarking_Orders,10,HMO-2024-001,"Hallmarking of Gold Jewellery and Gold Artefacts (Amendment) Order, 2024",S.O. 4814(E),Gold,Applicable IS 1417 grades,MANDATORY,Districts in substituted Annexure,Phase IV — 18 additional districts,2024-11-05,Replaced district Annexure with expanded list,Principal-order exemptions continue,Substitutes previous Annexure to S.O. 205(E),Official BIS amendment PDF,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00149,Mandatory_Hallmarking_Orders,11,HMO-2025-001,"Hallmarking of Gold Jewellery and Gold Artefacts (Amendment) Order, 2025",S.O. 3549(E),Gold,Applicable IS 1417 grades,MANDATORY,Districts in substituted Annexure,Phase V — 12 additional districts,2025-07-31,Substituted updated district Annexure,Principal-order exemptions continue,Substitutes previous Annexure,Official BIS amendment PDF,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00141,Mandatory_Hallmarking_Orders,12,HMO-2026-001,"Hallmarking of Gold Jewellery and Gold Artefacts (Amendment) Order, 2026",S.O. 1129(E),Gold,Applicable IS 1417 grades,MANDATORY,Districts in substituted Annexure,Phase VI — 7 additional districts,2026-03-02,"Substituted complete district Annexure; added Rupnagar, Banda, Beed, Gomati, Katihar, Beawar and Neemuch",Principal-order exemptions continue,Substitutes previous Annexure,https://www.bis.gov.in/wp-content/uploads/2026/03/Gazette-Notification-dt-02-March-2026-Mandatory-Hallmarking-amendment-order-1-1.pdf,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00146,Mandatory_Hallmarking_Orders,13,HMO-2026-002,"Hallmarking of Gold Jewellery and Gold Artefacts (Second Amendment) Order, 2026",S.O. 2117(E),Gold,Applicable IS 1417 grades,MANDATORY,Districts in substituted Annexure,Phase VII — 5 additional districts,2026-04-28,Substituted the complete district Annexure with updated district list,Principal-order exemptions continue,Substitutes previous Annexure,Official BIS order,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00151,Mandatory_Hallmarking_Orders,14,HMO-2026-003,"Hallmarking of Gold Jewellery and Gold Artefacts (Third Amendment) Order, 2026",S.O. 4345(E),Gold,Applicable IS 1417 grades,MANDATORY,Updated district Annexure,Current expansion — latest amendment listed by BIS,NONE,Substituted the entire Annexure again with the latest notified-district list,Principal-order exemptions continue,Substitutes the district Annexure created by earlier amendments,Official BIS Mandatory Hallmarking Order page / Gazette record,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
LEGAL,LEGAL-00009,Mandatory_Hallmarking_Orders,15,HMO-SILVER-001,Mandatory Hallmarking Order — Silver Jewellery and Artefacts framework,Applicable Hallmarking Order / No. tification,Silver,"800, 835, 900, 925, 970, 990",MANDATORY,Applicable notified geographical areas/orders,As notified,NONE,Silver brought into the mandatory hallmarking framework through the applicable Government/BIS orders,Product/order-specific exemptions,Subject to later amendments/orders,BIS Hallmarking Orders,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/
