canonical_entity,canonical_entity_id,source_sheet,source_row,source_scheme_ids,scheme_name,scheme_code,scheme_type,certification_type,related_product_text,canonical_is_number,mandatory_voluntary,certification_scope,certification_requirements,related_qco_text,related_product_manual_text,related_sit_text,source_url
SCHEME,SCH-00001,BIS_Schemes_Master,2,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Work Chairs,STD-17631,MANDATORY,"Completely manufactured, fabricated, or ready-to-assemble work chairs","Compliance with safety, strength, stability, durability, and ergonomic design requirements",Furniture (Quality Control) Order,PM for Work Chairs,SIT for Furniture,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,3,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Chairs and Stools (General Purpose),STD-17632,MANDATORY,General purpose chairs and stools for adults (domestic and non-domestic use),"Compliance with static load, impact, stability, and durability specifications",Furniture (Quality Control) Order,PM for Chairs and Stools,SIT for Furniture,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,4,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Tables and Desks,STD-17633,MANDATORY,"Tables and desks for seated, sit-stand, or standing use by adults","Compliance with performance, safety, strength, and stability requirements",Furniture (Quality Control) Order,PM for Tables and Desks,SIT for Furniture,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,5,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Storage Units,STD-17634,MANDATORY,"Storage units like wardrobes, almirahs, cabinets, cupboards, and shelves","Tip-over stability, shelf/rail strength, structural integrity, and durability tests",Furniture (Quality Control) Order,PM for Storage Units,SIT for Furniture,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,6,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Beds,STD-17635,MANDATORY,Beds intended for adult users in domestic and non-domestic environments,"Structural strength, stability, vertical/horizontal static loads, and impact tests",Furniture (Quality Control) Order,PM for Beds,SIT for Furniture,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,7,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Bunk Beds,STD-17636,MANDATORY,Bunk beds and high beds for domestic and non-domestic use,"Safety requirements against falls, entrapment, and structural failure",Furniture (Quality Control) Order,PM for Bunk Beds,SIT for Furniture,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,8,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Domestic Pressure Cooker,STD-2347,MANDATORY,Domestic pressure cookers of various capacities,"Material safety, wall thickness, pressure regulation, and bursting strength",Domestic Pressure Cooker (Quality Control) Order,PM for Pressure Cookers,SIT for Pressure Cookers,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,9,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Sulphate Resisting Portland Cement,STD-12330,MANDATORY,Cement used where foundations/structures are exposed to sulfidic soils/waters,"Chemical composition limits, compressive strength, and setting time limits",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,10,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Low Heat Portland Cement,STD-12600,MANDATORY,Low heat Portland cement used for mass concrete construction,"Specific surface area, heat of hydration limits, and compressive strength",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,11,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Portland Pozzolana Cement - Part 1 (Fly-ash based),STD-1489-P1,MANDATORY,Portland pozzolana cement utilizing fly ash,"Fineness, soundness, compressive strength, and chemical composition",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,12,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Portland Pozzolana Cement - Part 2 (Calcined clay based),STD-1489-P2,MANDATORY,Portland pozzolana cement utilizing calcined clay,"Fineness, soundness, compressive strength, and pozzolanic activity",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,13,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,"Ordinary Portland Cement (33, 43, 53 grades)",STD-269,MANDATORY,Ordinary Portland cement for general construction,Physical and chemical requirements including setting time and compressive strength,Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,14,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Portland Slag Cement,STD-455,MANDATORY,Portland slag cement for general construction and marine environments,"Granulated slag percentage, chemical constraints, and strength tests",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,15,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Rapid Hardening Portland Cement,STD-8041,MANDATORY,Cement providing high early strength for quick formwork removal,Minimum compressive strength at early hours and finer grinding specifications,Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,16,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,White Portland Cement,STD-8042,MANDATORY,White Portland cement used for decorative and architectural purposes,"Whiteness index, iron oxide restrictions, and standard physical properties",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,17,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Hydrophobic Portland Cement,STD-8043,MANDATORY,Portland cement treated with hydrophobic agents for storage in damp conditions,"Resistance to wetting, setting time, and strength parameters",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,18,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Composite Cement,STD-16415,MANDATORY,"Composite cement blending clinker, fly ash, and/or slag","Blend proportions, physical strength, and chemical parameters",Cement (Quality Control) Order,PM for Cement,SIT for Cement,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,19,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Safety of Toys - Part 1: Mechanical and Physical Properties,STD-9873-P1,MANDATORY,Toys intended for use by children under 14 years,"Evaluation of sharp edges, points, small parts, and mechanical stability",Toys (Quality Control) Order,PM for Toys,SIT for Toys,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,20,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Safety of Toys - Part 2: Flammability,STD-9873-P2,MANDATORY,Toys designed to prevent fire hazards and rapid burning risks in children's toys,Limits on rate of spread of flame across toy surfaces and materials,Toys (Quality Control) Order,PM for Toys,SIT for Toys,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,21,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Safety of Toys - Part 3: Migration of Certain Elements,STD-9873-P3,MANDATORY,Toys and toy materials limiting toxic heavy metal transfer,"Maximum permissible migration limits for lead, antimony, arsenic, barium, cadmium, chromium, mercury, and selenium",Toys (Quality Control) Order,PM for Toys,SIT for Toys,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,22,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Safety of Toys - Part 4: Swings | Slides and Similar Activity Toys,STD-9873-P4,MANDATORY,Activity toys for indoor and outdoor family domestic use,"Structural integrity, anchoring strength, and fall-height safety clearances",Toys (Quality Control) Order,PM for Toys,SIT for Toys,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,23,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Safety of Electric Toys,STD-15644,MANDATORY,Electric toys operating on electricity,"Protection against electric shock, thermal hazards, and insulation safety",Toys (Quality Control) Order,PM for Electric Toys,SIT for Toys,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,24,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Flat Transparent Sheet Glass,STD-2835,MANDATORY,"Transparent sheet glass used for glazing, buildings, and mirrors","Thickness tolerances, freedom from flaws, and optical clarity tests",Flat Transparent Sheet Glass QCO,PM for Sheet Glass,SIT for Glass,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,25,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,"Safety Glass (Architectural, Building and General uses)",STD-2553-P1,MANDATORY,Toughened and laminated safety glass for buildings and architecture,"Fragmentation test, impact resistance, and resistance to thermal stress",Safety Glass (Quality Control) Order,PM for Safety Glass,SIT for Glass,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,26,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Safety Glass (For Road Transport),STD-2553-P2,MANDATORY,Safety glass panes used in automotive vehicles and transport,"Luminous transmittance, optical distortion tests, and mechanical strength",Safety Glass (Quality Control) Order,PM for Safety Glass,SIT for Glass,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,27,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Rubber Hose for LPG (Industrial Application),STD-9573-P1,MANDATORY,Rubber hoses used for conveyance of commercial propane/butane in industry,"Hydrostatic pressure testing, burst pressure, and fuel resistance",Rubber Hose for LPG QCO,PM for Rubber Hoses,SIT for Rubber,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,28,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Rubber Hose for LPG (Domestic and Commercial Application),STD-9573-P2,MANDATORY,Low-pressure rubber hoses for domestic and commercial LPG stoves/appliances,"Flexibility, tensile strength, gas permeability, and ageing resistance",Rubber Hose for LPG QCO,PM for Rubber Hoses,SIT for Rubber,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,29,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,STD-15392,MANDATORY,Aluminium foil wrappers and containers for food products,"Thickness, pinhole count, tensile strength, and chemical purity limits",Aluminium Foil (Quality Control) Order,PM for Aluminium Foil,SIT for Aluminium,Scheme – I (ISI Mark Scheme)
