canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,related_product_text,related_scheme_text,eligibility,application_procedure,required_documents,factory_requirements,infrastructure_requirements,process_controls,quality_control,testing,inspection,laboratory_testing,conformity_assessment,licence_or_coc_grant,surveillance,renewal,scope_extension,retesting,fees,forms,timelines,source_url
STANDARD,STD-00807,BIS_Standards_Intelligence,2,STD-17631,Work Chairs,Scheme-I — BIS ISI Mark Certification,"Manufacturer of Work Chairs conforming to IS 17631:2022 and, where compulsory, applicable QCO requirements.",Apply online through Manakonline → select IS 17631:2022 → submit application/factory/product information → pay prescribed application fee → BIS preliminary assessment/inspection → sample testing → resolve observations/non-conformities → BIS decision → licence grant.,Application; manufacturer/factory details; IS/product details; manufacturing process; in-house testing-facility details; QC arrangements; product-specific declarations; documents required by Product Manual and SIT.,Manufacturing facility capable of producing conforming work chairs; controlled production; inspection/QC arrangements; trained personnel; product-specific testing capability.,"Furniture production machinery, dimensional/inspection equipment, stability/static-load/durability equipment and material-performance testing arrangement as specified in PM Annex-B/SIT.",Control of raw/component materials; construction/workmanship; dimensions; upholstery/surface materials; assembly; traceability; equipment calibration; handling of non-conforming product.,"Routine inspection and SIT controls; maintain test/inspection records; verify dimensions, safety and performance before release.","Product Manual covers design/workmanship, dimensions, stability, static load and surface-performance testing; additional tests according to applicable SIT.","BIS assesses manufacturing/testing infrastructure, records, process controls and product conformity during inspection/surveillance.",Testing through manufacturer's facilities and/or BIS-recognized laboratory as prescribed by the certification route/SIT.,Manufacturing capability + process/QC capability + testing capability + sample/product conformity to IS 17631:2022.,BIS Licence to use Standard Mark (ISI Mark) for the defined scope/model/product.,BIS factory surveillance; factory sample testing; market sample testing where applicable; verification of continuing conformity.,Online renewal through Manakonline with production details and applicable fee; licence may be renewed according to Scheme-I provisions.,Apply for inclusion/addition/deletion of models/varieties under applicable Change in Scope guidelines; additional testing/assessment as required.,Retesting under BIS retesting guidelines where permitted after non-conformity/sample cases.,"Current Scheme-I FAQ: ₹1,000 application fee; ₹7,000 per man-day inspection fee; annual licence fee ₹1,000 + applicable minimum marking fee.",Manakonline application; BIS grant/renewal/scope-change/retesting forms and product-specific PM/SIT documents.,"BIS FAQ: average ~1 month for Option-2 and ~4 months for Option-1 from complete application/recording, subject to queries, inspection, testing and dues.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00808,BIS_Standards_Intelligence,3,STD-17632,General Purpose Chairs and Stools,Scheme-I,Manufacturer of general-purpose chairs/stools conforming to IS 17632:2022 and applicable compulsory requirements.,Online Manakonline application → technical/factory information → fee → BIS inspection → testing → conformity decision → licence.,Application; factory/manufacturing details; product specification/model list; process flow; QC plan; testing-facility details; Product Manual/SIT documents and declarations.,Controlled furniture manufacturing; adequate inspection/QC; documented production controls; testing capability.,Furniture production equipment; measuring instruments; stability/static-load/impact/fatigue/durability equipment; surface/material testing facilities or approved external facility.,Material receipt; construction; dimensions; joining/assembly; finishing; upholstery/material control; traceability; calibration.,Routine testing and inspection under SIT; maintain production/test records and control non-conforming lots.,Dimensions; surface performance; fabric/leather properties; overbalancing/stability; static load; impact; seat/back fatigue; arm-rest durability and applicable requirements.,"BIS verifies factory, production controls, QC and test facilities.",Manufacturer/BIS-recognized laboratory according to SIT and certification route.,Product conformity + manufacturing/testing capability + SIT compliance.,BIS ISI Mark licence with specified product/model scope.,BIS factory and market surveillance; sample testing where applicable.,Online Scheme-I renewal with production/fee information.,Inclusion/deletion of product varieties/models under applicable scope-change guideline.,Allowed according to BIS retesting procedure where applicable.,"Scheme-I current general fees: ₹1,000 application; ₹7,000/man-day inspection; ₹1,000 annual licence + product marking fee.",Manakonline + BIS Scheme-I forms + PM/SIT-specific documents.,"Option-2 ~1 month average; Option-1 ~4 months average, subject to case factors.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00809,BIS_Standards_Intelligence,4,STD-17633,Tables and Desks,Scheme-I,Manufacturer of tables/desks conforming to IS 17633:2022.,Online BIS application → factory/product assessment → testing → resolution → licence.,"Application, manufacturer details, product/model details, manufacturing process, QC/test arrangements, required declarations and PM/SIT documents.",Furniture manufacturing facility with controlled assembly/workmanship and inspection.,"Production machinery, dimensional equipment, stability/load test equipment and surface-performance facilities.",Raw material/component control; dimensions; construction; joining/assembly; finish; traceability; calibration.,Routine inspection/testing according to IS 17633 SIT.,Design/workmanship; dimensions; surface performance; stability under vertical load; stability for applicable table height categories and other SIT tests.,BIS factory inspection and verification of records/infrastructure.,In-house/recognized laboratory according to applicable SIT.,Factory capability + QC/testing + product test conformity.,ISI Mark licence.,Factory/market surveillance and product sample testing.,Manakonline Scheme-I renewal.,Product/model/variety inclusion according to scope-change process.,Under BIS retesting guidelines where permitted.,Scheme-I current general fee structure.,Manakonline + Scheme-I/product-specific documents.,Option-2 approximately one month; Option-1 approximately four months on average.,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00810,BIS_Standards_Intelligence,5,STD-17634,Storage Units,Scheme-I,Manufacturer of storage units complying with IS 17634:2022.,Manakonline application → factory assessment → product testing → decision/licence.,Factory details; product/model details; manufacturing process; QC/test facilities; technical documents; declarations; Product Manual/SIT.,Furniture manufacturing/assembly facility; controlled storage-unit manufacturing; inspection/QC.,Dimensional equipment; surface-performance equipment; shelf/structural/door/extension/stability/dynamic test facilities.,Material/component verification; dimensions; assembly; shelf installation; door/locking mechanisms; wall attachment; finishing.,Routine inspection/testing and documentation under SIT.,"Dimensions, surface performance, shelves, tops/bottoms, clothes rails, structural strength, pivoted/sliding doors, locking/latching, pull force, stability and other applicable tests.",BIS factory verification and surveillance.,In-house and/or BIS-recognized laboratory according to SIT.,Product + process + testing conformity.,BIS ISI Mark licence.,Factory and market surveillance.,Scheme-I online renewal.,Addition/deletion of models/varieties under scope-change guideline.,According to BIS retesting procedure.,Scheme-I standard fees plus applicable marking fee.,Manakonline/Scheme-I forms and product-specific documents.,"Approx. 1 month Option-2 / 4 months Option-1 average, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00811,BIS_Standards_Intelligence,6,STD-17635,Beds,Scheme-I,Manufacturer producing beds compliant with IS 17635:2022.,Manakonline application → document scrutiny → factory inspection → product/sample testing → non-conformity resolution → BIS licence.,Application; factory information; manufacturing/process details; product/model details; QC plan; test facilities; declarations; PM/SIT documentation.,Bed manufacturing facility capable of controlled construction and assembly; inspection/QC.,"Dimensional instruments, furniture stability/static-load equipment, durability and surface/material test facilities.",Material control; frame/joint/assembly control; dimensions; finish; upholstery/surface-material control; calibration.,Routine inspection/testing as specified in Product Manual/SIT.,"Design/workmanship, dimensions, surface performance, stability and static-load requirements; applicable durability/material tests.",BIS factory assessment and surveillance.,Manufacturer/recognized lab as prescribed.,Manufacturing/testing capability plus product conformity to IS 17635.,BIS licence for use of ISI Mark.,Factory surveillance + factory/market sample testing.,Manakonline renewal.,Addition/deletion of bed models/varieties.,BIS retesting process where permitted.,General Scheme-I fees + applicable product marking fee.,Manakonline and relevant BIS Scheme-I/Product Manual forms.,Approximately 1 month Option-2 / 4 months Option-1 average.,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00812,BIS_Standards_Intelligence,7,STD-17636,Bunk Beds,Scheme-I,Manufacturer of bunk beds conforming to IS 17636:2022.,Online application → factory assessment → sample testing → resolution → licence.,"Application, factory/product information, model details, process information, QC/testing documents and Product Manual/SIT documentation.","Controlled bunk-bed manufacturing, safe assembly, inspection/QC.","Dimensional, stability, structural-strength and furniture-testing facilities.","Frame, joints, fasteners, ladders/treads, guard rails, assembly, dimensions and finish.",Routine inspections/testing and records per SIT.,"Design/workmanship, dimensions, stability, structural/strength and applicable surface/material tests.",BIS factory inspection and surveillance.,In-house/recognized laboratory where required.,Capability + product/sample conformity.,ISI Mark licence.,Factory and market surveillance.,Scheme-I renewal through Manakonline.,Product/model inclusion/deletion through CSoL procedure.,BIS permitted retesting route.,General Scheme-I fees and applicable marking fee.,Manakonline + Scheme-I/product-specific documents.,Option-2 ~1 month / Option-1 ~4 months average.,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00982,BIS_Standards_Intelligence,8,STD-2347,Domestic Pressure Cooker,Scheme-I,Manufacturer of domestic pressure cookers conforming to IS 2347:2023.,Online Manakonline application → factory/product documentation → inspection/testing → conformity decision → licence.,"Application, manufacturer/factory details, pressure-cooker product/model information, raw-material/component details, QC arrangements, test-facility documents, declarations and PM/SIT records.","Pressure-cooker manufacturing/assembly facility with control over body, lid, gasket, pressure devices, handles/knobs and safety components.","Capacity measurement, dimensional, pressure, safety-relief, gasket, construction and electrical/induction testing facilities where applicable.",Body/lid formation; safety-device assembly; gasket installation; pressure regulating device; vent system; base/coating; final inspection.,Routine testing and SIT controls; safety-critical components require controlled conformity.,Capacity; body/lid/container/grid; safety relief device; gasket; handles/knobs; vent pipe; pressure regulating device; air/proof pressure; safety relief; bursting; lid removal and other IS tests.,"BIS verifies manufacturing/testing facilities, process controls, records and samples.",Manufacturer and/or recognized laboratory per applicable SIT.,Product conformity + manufacturing/process/testing capability.,BIS ISI Mark licence for Domestic Pressure Cooker.,BIS factory/market surveillance and sample testing.,Online Scheme-I renewal.,Additional cooker types/models/varieties through scope-change procedure.,According to BIS retesting guidelines where permitted.,General Scheme-I fee structure.,"Manakonline, Scheme-I and pressure-cooker-specific PM/SIT documentation.",Scheme-I average timelines subject to inspection/testing.,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00194,BIS_Standards_Intelligence,9,STD-12330,Sulphate Resisting Portland Cement,Scheme-I,Cement manufacturer producing Sulphate Resisting Portland Cement conforming to applicable BIS standard.,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; cement product/grade details; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Insoluble residue, LOI, fineness, setting time and applicable strength/other IS requirements.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00214,BIS_Standards_Intelligence,10,STD-12600,Low Heat Portland Cement,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Chemical, physical and performance requirements per IS; see Annex/SIT.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00444,BIS_Standards_Intelligence,11,STD-1489-P1,Portland Pozzolana Cement — Fly Ash Based,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Chemical, physical and strength requirements of IS 1489 Part 1.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
