url,error_type,event_timestamp,retry_count,outcome,notes,source_file_id,source_file,source_sheet,source_row,record_disposition
https://www.bis.gov.in/fmcs/,REDIRECT_TO_UNINTENDED_LANGUAGE,2026-08-31,0,RESOLVED,Requesting /fmcs/ redirected to ?lang=hi and served Hindi content. All subsequent BIS page requests append ?lang=en,F041,output__extraction_log.csv,,2,CANONICAL
BATCH: 16 FMCS section pages in a single request,TOOL_TIMEOUT,2026-08-31,1,RESOLVED,One batched in-page fetch of all 16 FMCS pages with 400 ms delays exceeded the tool timeout. Re-issued as batches of 3-4 pages,F041,output__extraction_log.csv,,3,CANONICAL
https://www.bis.gov.in/* (all bis.gov.in fetches),CROSS_ORIGIN_FETCH_FAILURE,2026-08-31,1,RESOLVED,"After the timeout the automation context was left on about:blank, so every same-origin fetch to bis.gov.in failed with TypeError: Failed to fetch. Fixed by re-navigating to https://www.bis.gov.in/fmcs/?lang=en to re-establish the origin before fetching",F041,output__extraction_log.csv,,4,CANONICAL
https://www.bis.gov.in/fmcs/certification-process/operation-of-licence/?lang=en,TRANSIENT_FETCH_FAILURE,2026-08-31,1,RESOLVED,Transient Failed to fetch. Retried with 600 ms exponential backoff and succeeded with HTTP 200 on the first retry attempt,F041,output__extraction_log.csv,,5,CANONICAL
https://www.bis.gov.in/wp-content/uploads/2018/11/ApplicationFormV.pdf,TRANSIENT_FETCH_FAILURE,2026-08-31,1,RESOLVED,"Failed on attempt 1, succeeded on attempt 2 with HTTP 200, 910009 bytes",F041,output__extraction_log.csv,,6,CANONICAL
https://www.bis.gov.in/wp-content/uploads/2018/11/AgreementFormIX.pdf,SOFT_404_HTML_INSTEAD_OF_PDF,2026-08-31,0,UNRESOLVED_AT_SOURCE,"HTTP 200 but content-type text/html, 520098 bytes, no %PDF- magic bytes. Recorded as access_status NOT_FOUND with SHA256 NULL. The error page hash was deliberately not stored as the document hash",F041,output__extraction_log.csv,,7,CANONICAL
https://www.bis.gov.in/wp-content/uploads/2018/11/PERFORMANCEBANKGUARANTEEPBGformXI.pdf,SOFT_404_HTML_INSTEAD_OF_PDF,2026-08-31,0,UNRESOLVED_AT_SOURCE,"HTTP 200 but content-type text/html, 520098 bytes, no %PDF- magic bytes. Recorded as access_status NOT_FOUND with SHA256 NULL",F041,output__extraction_log.csv,,8,CANONICAL
BATCH: 6 candidate BIS product-certification / QCO index URLs,TOOL_TIMEOUT,2026-08-31,1,ABANDONED_THIS_PASS,"A probe of 6 candidate index pages for Product Manuals, QCOs and SIT documents timed out and again left the context on about:blank. IS-level document harvesting was deferred rather than partially guessed; logged in unresolved_records.csv",F041,output__extraction_log.csv,,9,CANONICAL
file:///â€¦/session transcript .jsonl,PROTOCOL_BLOCKED,2026-08-31,0,ABANDONED,Attempt to recover the literal 45-item target IS list from the session transcript failed because the file: protocol is blocked in the automation layer. The list was NOT reconstructed from memory; the limitation is recorded in unresolved_records.csv,F041,output__extraction_log.csv,,10,CANONICAL
mcp__workspace__bash,PERMISSION_DENIED,2026-08-31,0,WORKED_AROUND,"No shell available, therefore no curl, python, sha256sum or pdfinfo. SHA-256 was computed with crypto.subtle.digest over the retrieved ArrayBuffer and PDF page counts from raw byte patterns instead",F041,output__extraction_log.csv,,11,CANONICAL
filesystem write (binary),NO_BINARY_WRITE_CAPABILITY,2026-08-31,0,WORKED_AROUND,Binary PDFs cannot be persisted in this environment. Documents are recorded as ACCESSIBLE_NOT_DOWNLOADED with local_file NULL and genuine byte-level SHA-256 values,F041,output__extraction_log.csv,,12,CANONICAL
https://www.services.bis.gov.in/php/BIS_2.0/fmcs/getVariety.php,DELIBERATELY_NOT_CALLED,2026-08-31,0,BY_DESIGN,"The per-record variety modal endpoint would have required 3135 individual requests. Not issued, to respect BIS server stability and rate limits. The Variety/Brand Names text already rendered in the list was used instead",F041,output__extraction_log.csv,,13,CANONICAL
