group_id,file_a,file_b,duplicate_type,similarity_score,common_rows,unique_rows_a,unique_rows_b,common_IS_numbers,unique_IS_numbers_a,unique_IS_numbers_b,common_columns,unique_columns_a,unique_columns_b,conflicts,decision,decision_reason,recommended_canonical_file,records_to_merge,records_to_archive,requires_review,detection_level,record_key_column,common_records_by_key,unique_records_a_by_key,unique_records_b_by_key,record_key_jaccard,entity_identity_verdict,entity_discriminator_columns,homonym_columns_do_not_union,attribute_sets_comparable,row_metric_reliability,schema_verdict,identical_bytes,identical_row_multiset,version_direction_evidence,pair_id
DG-0000,05_scheme_ii.csv,06_scheme_iv.csv,DIFFERENT_ENTITY,0.3062,0,78,6,0,27,4,21,1,2,0,DIFFERENT_ENTITY,"Checked and cleared as a false duplicate candidate: no shared record key values and entity overlap only 0.00. Schema resemblance (SCHEMA_SUBSTANTIALLY_IDENTICAL, column Jaccard 0.875) is structural, not evidence of shared records.",BOTH_KEEP_SEPARATE,0,0,NO,L3,scheme_record_id,0,78,6,0.0,KEY_DISJOINT_NO_ENTITY_EVIDENCE,,,YES,RELIABLE,SCHEMA_SUBSTANTIALLY_IDENTICAL,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0000
DG-0001,05_scheme_ii.csv,07_scheme_x.csv,DIFFERENT_ENTITY,0.3062,0,78,52,0,27,6,21,1,2,0,DIFFERENT_ENTITY,"Checked and cleared as a false duplicate candidate: no shared record key values and entity overlap only 0.00. Schema resemblance (SCHEMA_SUBSTANTIALLY_IDENTICAL, column Jaccard 0.875) is structural, not evidence of shared records.",BOTH_KEEP_SEPARATE,0,0,NO,L3,scheme_record_id,0,78,52,0.0,KEY_DISJOINT_NO_ENTITY_EVIDENCE,,,YES,RELIABLE,SCHEMA_SUBSTANTIALLY_IDENTICAL,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0001
DG-0002,05_scheme_ii.csv,BIS_Schemes_Master_Scheme_2.xlsx,DIFFERENT_ENTITY,0.0437,0,78,40,0,27,0,4,18,10,0,DIFFERENT_ENTITY,"Checked and cleared as a false duplicate candidate: no shared record key values and entity overlap only 0.01. Schema resemblance (SCHEMA_WEAK_OVERLAP, column Jaccard 0.125) is structural, not evidence of shared records.",BOTH_KEEP_SEPARATE,0,0,NO,L3,,-1,-1,-1,0.0,NO_KEY_AVAILABLE,,,NO,LOW_PROJECTION_WIDTH,SCHEMA_WEAK_OVERLAP,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0002
DG-0003,06_scheme_iv.csv,07_scheme_x.csv,DIFFERENT_ENTITY,0.35,0,6,52,0,4,6,23,0,0,0,DIFFERENT_ENTITY,"Checked and cleared as a false duplicate candidate: no shared record key values and entity overlap only 0.00. Schema resemblance (SCHEMA_IDENTICAL, column Jaccard 1.0) is structural, not evidence of shared records.",BOTH_KEEP_SEPARATE,0,0,NO,L3,scheme_record_id,0,6,52,0.0,KEY_DISJOINT_NO_ENTITY_EVIDENCE,,,YES,RELIABLE,SCHEMA_IDENTICAL,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0003
DG-0004,07_scheme_x.csv,BIS_Scheme_X_Industrial.xlsx,COMPLEMENTARY,0.0424,0,52,5,2,4,0,4,19,10,0,COMPLEMENTARY,"No shared value in any candidate key column (none qualified), yet entity overlap reaches 0.33 - the files describe overlapping entities under different identifier namespaces. Identity must be re-derived in Phase 3 from the entity columns before any merge; keying on the existing surrogate would duplicate every shared entity. The two files share their subjects but not their attributes (SCHEMA_WEAK_OVERLAP, column Jaccard 0.1212, 4 shared of 23/14 columns), so they describe different attributes of the same subjects. Union them side by side on the subject key; neither attribute set may be dropped.",MERGE_AFTER_REKEY,57,0,YES,L4,,-1,-1,-1,0.0,SAME_ENTITIES_DIFFERENT_KEY_NAMESPACE,,,NO,LOW_PROJECTION_WIDTH,SCHEMA_WEAK_OVERLAP,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0004
DG-0005,07_scheme_x.csv,BIS_Scheme_X_Industrial_v2.xlsx,COMPLEMENTARY,0.0424,0,52,5,2,4,0,4,19,10,0,COMPLEMENTARY,"No shared value in any candidate key column (none qualified), yet entity overlap reaches 0.33 - the files describe overlapping entities under different identifier namespaces. Identity must be re-derived in Phase 3 from the entity columns before any merge; keying on the existing surrogate would duplicate every shared entity. The two files share their subjects but not their attributes (SCHEMA_WEAK_OVERLAP, column Jaccard 0.1212, 4 shared of 23/14 columns), so they describe different attributes of the same subjects. Union them side by side on the subject key; neither attribute set may be dropped.",MERGE_AFTER_REKEY,57,0,YES,L4,,-1,-1,-1,0.0,SAME_ENTITIES_DIFFERENT_KEY_NAMESPACE,,,NO,LOW_PROJECTION_WIDTH,SCHEMA_WEAK_OVERLAP,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0005
DG-0006,BIS_Combined_Testing_Master.xlsx,BIS_Laboratory_Scopes.xlsx,COMPLEMENTARY,0.05,0,260,45,40,6,4,3,9,9,0,COMPLEMENTARY,"No shared value in any candidate key column (none qualified), yet entity overlap reaches 0.80 - the files describe overlapping entities under different identifier namespaces. Identity must be re-derived in Phase 3 from the entity columns before any merge; keying on the existing surrogate would duplicate every shared entity. The two files share their subjects but not their attributes (SCHEMA_WEAK_OVERLAP, column Jaccard 0.1429, 3 shared of 12/12 columns), so they describe different attributes of the same subjects. Union them side by side on the subject key; neither attribute set may be dropped.",MERGE_AFTER_REKEY,305,0,YES,L4,,-1,-1,-1,0.0,SAME_ENTITIES_DIFFERENT_KEY_NAMESPACE,,,NO,LOW_PROJECTION_WIDTH,SCHEMA_WEAK_OVERLAP,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0006
DG-0007,BIS_Combined_Testing_Master.xlsx,BIS_Notifications_Master.xlsx,COMPLEMENTARY,0.014,0,260,31,21,25,5,1,11,13,0,COMPLEMENTARY,"No shared value in any candidate key column (none qualified), yet entity overlap reaches 0.41 - the files describe overlapping entities under different identifier namespaces. Identity must be re-derived in Phase 3 from the entity columns before any merge; keying on the existing surrogate would duplicate every shared entity. The two files share their subjects but not their attributes (SCHEMA_WEAK_OVERLAP, column Jaccard 0.04, 1 shared of 12/14 columns), so they describe different attributes of the same subjects. Union them side by side on the subject key; neither attribute set may be dropped.",MERGE_AFTER_REKEY,291,0,YES,L4,,-1,-1,-1,0.0,SAME_ENTITIES_DIFFERENT_KEY_NAMESPACE,,,NO,LOW_PROJECTION_WIDTH,SCHEMA_WEAK_OVERLAP,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0007
DG-0008,BIS_Combined_Testing_Master.xlsx,BIS_Product_Manuals_Master.xlsx,COMPLEMENTARY,0.0113,18,242,22,40,6,0,1,11,19,0,COMPLEMENTARY,"No shared value in any candidate key column (none qualified), yet entity overlap reaches 0.87 - the files describe overlapping entities under different identifier namespaces. Identity must be re-derived in Phase 3 from the entity columns before any merge; keying on the existing surrogate would duplicate every shared entity. The two files share their subjects but not their attributes (SCHEMA_WEAK_OVERLAP, column Jaccard 0.0323, 1 shared of 12/20 columns), so they describe different attributes of the same subjects. Union them side by side on the subject key; neither attribute set may be dropped.",MERGE_AFTER_REKEY,300,0,YES,L4,,-1,-1,-1,0.0,SAME_ENTITIES_DIFFERENT_KEY_NAMESPACE,,,NO,LOW_PROJECTION_WIDTH,SCHEMA_WEAK_OVERLAP,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0008
DG-0009,BIS_Combined_Testing_Master.xlsx,BIS_Products_Details.xlsx,COMPLEMENTARY,0.0159,0,260,40,40,6,0,1,11,10,0,COMPLEMENTARY,"No shared value in any candidate key column (none qualified), yet entity overlap reaches 0.87 - the files describe overlapping entities under different identifier namespaces. Identity must be re-derived in Phase 3 from the entity columns before any merge; keying on the existing surrogate would duplicate every shared entity. The two files share their subjects but not their attributes (SCHEMA_WEAK_OVERLAP, column Jaccard 0.0455, 1 shared of 12/11 columns), so they describe different attributes of the same subjects. Union them side by side on the subject key; neither attribute set may be dropped.",MERGE_AFTER_REKEY,300,0,YES,L4,,-1,-1,-1,0.0,SAME_ENTITIES_DIFFERENT_KEY_NAMESPACE,,,NO,LOW_PROJECTION_WIDTH,SCHEMA_WEAK_OVERLAP,NO,NO,NO_CONFLICTS_TO_JUDGE_DIRECTION_FROM,DC-0009
